========================================================================================================================
SCENARIO DATA TABLE
========================================================================================================================
CONFIGURATION:
  Filter non-negative utility events: True
  Skip missing I-being: False
  Skip missing non-I being: False
  Process only choice 1: False
Total rows: 539
========================================================================================================================

  ID | Orig ID | Severity | Evitability | Causal | Choice |    C+ % |    I+ % | N Events | Condition
------------------------------------------------------------------------------------------------------------------------
   1 |       0 |     Mild |    Evitable |     CC |      1 |  100.00 |  100.00 |        4 | cc_evitable_action_yes_stories
   2 |       0 |     Mild |    Evitable |     CC |      2 |  100.00 |   50.00 |        2 | cc_evitable_action_yes_stories
   3 |       1 |     Mild |    Evitable |     CC |      1 |    0.00 |    0.00 |        0 | cc_evitable_action_yes_stories
   4 |       1 |     Mild |    Evitable |     CC |      2 |    0.00 |    0.00 |        0 | cc_evitable_action_yes_stories
   5 |       2 |     Mild |    Evitable |     CC |      1 |  100.00 |  100.00 |        2 | cc_evitable_action_yes_stories
   6 |       3 |     Mild |    Evitable |     CC |      1 |  100.00 |  100.00 |        3 | cc_evitable_action_yes_stories
   7 |       4 |     Mild |    Evitable |     CC |      1 |  100.00 |  100.00 |        2 | cc_evitable_action_yes_stories
   8 |       5 |     Mild |    Evitable |     CC |      1 |  100.00 |  100.00 |        3 | cc_evitable_action_yes_stories
   9 |       5 |     Mild |    Evitable |     CC |      2 |    0.00 |    0.00 |        0 | cc_evitable_action_yes_stories
  10 |       6 |     Mild |    Evitable |     CC |      1 |  100.00 |  100.00 |        3 | cc_evitable_action_yes_stories
  11 |       6 |     Mild |    Evitable |     CC |      2 |  100.00 |   66.67 |        3 | cc_evitable_action_yes_stories
  12 |       7 |     Mild |    Evitable |     CC |      1 |  100.00 |  100.00 |        2 | cc_evitable_action_yes_stories
  13 |       8 |     Mild |    Evitable |     CC |      1 |    0.00 |    0.00 |        0 | cc_evitable_action_yes_stories
  14 |       8 |     Mild |    Evitable |     CC |      2 |    0.00 |    0.00 |        0 | cc_evitable_action_yes_stories
  15 |       9 |     Mild |    Evitable |     CC |      1 |    0.00 |    0.00 |        0 | cc_evitable_action_yes_stories
  16 |       9 |     Mild |    Evitable |     CC |      2 |    0.00 |    0.00 |        0 | cc_evitable_action_yes_stories
  17 |      10 |     Mild |    Evitable |     CC |      1 |  100.00 |  100.00 |        2 | cc_evitable_action_yes_stories
  18 |      11 |     Mild |    Evitable |     CC |      1 |    0.00 |    0.00 |        0 | cc_evitable_action_yes_stories
  19 |      11 |     Mild |    Evitable |     CC |      2 |    0.00 |    0.00 |        0 | cc_evitable_action_yes_stories
  20 |      12 |     Mild |    Evitable |     CC |      1 |  100.00 |  100.00 |        4 | cc_evitable_action_yes_stories
  21 |      13 |     Mild |    Evitable |     CC |      1 |    0.00 |    0.00 |        0 | cc_evitable_action_yes_stories
  22 |      13 |     Mild |    Evitable |     CC |      2 |    0.00 |    0.00 |        0 | cc_evitable_action_yes_stories
  23 |      14 |     Mild |    Evitable |     CC |      1 |  100.00 |  100.00 |        4 | cc_evitable_action_yes_stories
  24 |      14 |     Mild |    Evitable |     CC |      2 |  100.00 |    0.00 |        2 | cc_evitable_action_yes_stories
  25 |      15 |     Mild |    Evitable |     CC |      1 |  100.00 |   66.67 |        3 | cc_evitable_action_yes_stories
  26 |      15 |     Mild |    Evitable |     CC |      2 |  100.00 |    0.00 |        1 | cc_evitable_action_yes_stories
  27 |      16 |     Mild |    Evitable |     CC |      1 |  100.00 |   50.00 |        2 | cc_evitable_action_yes_stories
  28 |      16 |     Mild |    Evitable |     CC |      2 |  100.00 |    0.00 |        2 | cc_evitable_action_yes_stories
  29 |      17 |     Mild |    Evitable |     CC |      1 |  100.00 |   66.67 |        3 | cc_evitable_action_yes_stories
  30 |      18 |     Mild |    Evitable |     CC |      1 |  100.00 |   50.00 |        2 | cc_evitable_action_yes_stories
  31 |      18 |     Mild |    Evitable |     CC |      2 |  100.00 |  100.00 |        1 | cc_evitable_action_yes_stories
  32 |      19 |     Mild |    Evitable |     CC |      1 |  100.00 |   50.00 |        2 | cc_evitable_action_yes_stories
  33 |      19 |     Mild |    Evitable |     CC |      2 |  100.00 |   50.00 |        4 | cc_evitable_action_yes_stories
  34 |      20 |     Mild |    Evitable |     CC |      1 |  100.00 |  100.00 |        2 | cc_evitable_action_yes_stories
  35 |      20 |     Mild |    Evitable |     CC |      2 |  100.00 |  100.00 |        2 | cc_evitable_action_yes_stories
  36 |      21 |     Mild |    Evitable |     CC |      1 |    0.00 |    0.00 |        0 | cc_evitable_action_yes_stories
  37 |      21 |     Mild |    Evitable |     CC |      2 |    0.00 |    0.00 |        0 | cc_evitable_action_yes_stories
  38 |      22 |     Mild |    Evitable |     CC |      1 |  100.00 |  100.00 |        4 | cc_evitable_action_yes_stories
  39 |      23 |     Mild |    Evitable |     CC |      1 |  100.00 |  100.00 |        5 | cc_evitable_action_yes_stories
  40 |      24 |     Mild |    Evitable |     CC |      1 |  100.00 |   50.00 |        2 | cc_evitable_action_yes_stories
  41 |      25 |     Mild |    Evitable |     CC |      1 |  100.00 |   50.00 |        2 | cc_evitable_action_yes_stories
  42 |      25 |     Mild |    Evitable |     CC |      2 |  100.00 |    0.00 |        2 | cc_evitable_action_yes_stories
  43 |      26 |     Mild |    Evitable |     CC |      1 |  100.00 |  100.00 |        8 | cc_evitable_action_yes_stories
  44 |      27 |     Mild |    Evitable |     CC |      1 |  100.00 |  100.00 |        3 | cc_evitable_action_yes_stories
  45 |      28 |     Mild |    Evitable |     CC |      1 |  100.00 |   50.00 |        2 | cc_evitable_action_yes_stories
  46 |      28 |     Mild |    Evitable |     CC |      2 |  100.00 |  100.00 |        1 | cc_evitable_action_yes_stories
  47 |      29 |     Mild |    Evitable |     CC |      1 |  100.00 |  100.00 |        4 | cc_evitable_action_yes_stories
  48 |       0 |     Mild |    Evitable |     CC |      1 |  100.00 |   66.67 |        3 | cc_evitable_prevention_no_stories
