========================================================================================================================
SCENARIO DATA TABLE
========================================================================================================================
CONFIGURATION:
  Filter non-negative utility events: True
  Skip missing I-being: False
  Skip missing non-I being: False
  Process only choice 1: True
Total rows: 280
========================================================================================================================

  ID | Orig ID | Severity | Evitability | Causal | Choice |    C+ % |    I+ % | N Events | Condition
------------------------------------------------------------------------------------------------------------------------
   1 |       0 |     Mild |    Evitable |     CC |      1 |  100.00 |  100.00 |        4 | cc_evitable_action_yes_stories
   2 |       1 |     Mild |    Evitable |     CC |      1 |    0.00 |    0.00 |        0 | cc_evitable_action_yes_stories
   3 |       2 |     Mild |    Evitable |     CC |      1 |  100.00 |  100.00 |        2 | cc_evitable_action_yes_stories
   4 |       3 |     Mild |    Evitable |     CC |      1 |  100.00 |  100.00 |        3 | cc_evitable_action_yes_stories
   5 |       4 |     Mild |    Evitable |     CC |      1 |  100.00 |  100.00 |        2 | cc_evitable_action_yes_stories
   6 |       5 |     Mild |    Evitable |     CC |      1 |  100.00 |  100.00 |        3 | cc_evitable_action_yes_stories
   7 |       6 |     Mild |    Evitable |     CC |      1 |  100.00 |  100.00 |        3 | cc_evitable_action_yes_stories
   8 |       7 |     Mild |    Evitable |     CC |      1 |  100.00 |  100.00 |        2 | cc_evitable_action_yes_stories
   9 |       8 |     Mild |    Evitable |     CC |      1 |    0.00 |    0.00 |        0 | cc_evitable_action_yes_stories
  10 |       9 |     Mild |    Evitable |     CC |      1 |    0.00 |    0.00 |        0 | cc_evitable_action_yes_stories
  11 |      10 |     Mild |    Evitable |     CC |      1 |  100.00 |  100.00 |        2 | cc_evitable_action_yes_stories
  12 |      11 |     Mild |    Evitable |     CC |      1 |    0.00 |    0.00 |        0 | cc_evitable_action_yes_stories
  13 |      12 |     Mild |    Evitable |     CC |      1 |  100.00 |  100.00 |        4 | cc_evitable_action_yes_stories
  14 |      13 |     Mild |    Evitable |     CC |      1 |    0.00 |    0.00 |        0 | cc_evitable_action_yes_stories
  15 |      14 |     Mild |    Evitable |     CC |      1 |  100.00 |  100.00 |        4 | cc_evitable_action_yes_stories
  16 |      15 |     Mild |    Evitable |     CC |      1 |  100.00 |   66.67 |        3 | cc_evitable_action_yes_stories
  17 |      16 |     Mild |    Evitable |     CC |      1 |  100.00 |   50.00 |        2 | cc_evitable_action_yes_stories
  18 |      17 |     Mild |    Evitable |     CC |      1 |  100.00 |   66.67 |        3 | cc_evitable_action_yes_stories
  19 |      18 |     Mild |    Evitable |     CC |      1 |  100.00 |   50.00 |        2 | cc_evitable_action_yes_stories
  20 |      19 |     Mild |    Evitable |     CC |      1 |  100.00 |   50.00 |        2 | cc_evitable_action_yes_stories
  21 |      20 |     Mild |    Evitable |     CC |      1 |  100.00 |  100.00 |        2 | cc_evitable_action_yes_stories
  22 |      21 |     Mild |    Evitable |     CC |      1 |    0.00 |    0.00 |        0 | cc_evitable_action_yes_stories
  23 |      22 |     Mild |    Evitable |     CC |      1 |  100.00 |  100.00 |        4 | cc_evitable_action_yes_stories
  24 |      23 |     Mild |    Evitable |     CC |      1 |  100.00 |  100.00 |        5 | cc_evitable_action_yes_stories
  25 |      24 |     Mild |    Evitable |     CC |      1 |  100.00 |   50.00 |        2 | cc_evitable_action_yes_stories
  26 |      25 |     Mild |    Evitable |     CC |      1 |  100.00 |   50.00 |        2 | cc_evitable_action_yes_stories
  27 |      26 |     Mild |    Evitable |     CC |      1 |  100.00 |  100.00 |        8 | cc_evitable_action_yes_stories
  28 |      27 |     Mild |    Evitable |     CC |      1 |  100.00 |  100.00 |        3 | cc_evitable_action_yes_stories
  29 |      28 |     Mild |    Evitable |     CC |      1 |  100.00 |   50.00 |        2 | cc_evitable_action_yes_stories
  30 |      29 |     Mild |    Evitable |     CC |      1 |  100.00 |  100.00 |        4 | cc_evitable_action_yes_stories
  31 |       0 |     Mild |    Evitable |     CC |      1 |  100.00 |   66.67 |        3 | cc_evitable_prevention_no_stories
  32 |       1 |     Mild |    Evitable |     CC |      1 |  100.00 |  100.00 |        5 | cc_evitable_prevention_no_stories
  33 |       2 |     Mild |    Evitable |     CC |      1 |  100.00 |  100.00 |        3 | cc_evitable_prevention_no_stories
  34 |       5 |     Mild |    Evitable |     CC |      1 |  100.00 |  100.00 |        7 | cc_evitable_prevention_no_stories
  35 |       6 |     Mild |    Evitable |     CC |      1 |  100.00 |  100.00 |        4 | cc_evitable_prevention_no_stories
  36 |       8 |     Mild |    Evitable |     CC |      1 |  100.00 |  100.00 |        2 | cc_evitable_prevention_no_stories
  37 |       9 |     Mild |    Evitable |     CC |      1 |  100.00 |  100.00 |        4 | cc_evitable_prevention_no_stories
  38 |      11 |     Mild |    Evitable |     CC |      1 |  100.00 |   75.00 |        4 | cc_evitable_prevention_no_stories
  39 |      12 |     Mild |    Evitable |     CC |      1 |  100.00 |   80.00 |        5 | cc_evitable_prevention_no_stories
  40 |      13 |     Mild |    Evitable |     CC |      1 |  100.00 |  100.00 |        5 | cc_evitable_prevention_no_stories
  41 |      14 |     Mild |    Evitable |     CC |      1 |  100.00 |   66.67 |        6 | cc_evitable_prevention_no_stories
  42 |      16 |     Mild |    Evitable |     CC |      1 |  100.00 |   50.00 |        4 | cc_evitable_prevention_no_stories
  43 |      18 |     Mild |    Evitable |     CC |      1 |  100.00 |    0.00 |        1 | cc_evitable_prevention_no_stories
  44 |      19 |     Mild |    Evitable |     CC |      1 |   50.00 |    0.00 |        2 | cc_evitable_prevention_no_stories
  45 |      20 |     Mild |    Evitable |     CC |      1 |  100.00 |  100.00 |        3 | cc_evitable_prevention_no_stories
  46 |      21 |     Mild |    Evitable |     CC |      1 |  100.00 |   80.00 |        5 | cc_evitable_prevention_no_stories
  47 |      24 |     Mild |    Evitable |     CC |      1 |  100.00 |    0.00 |        1 | cc_evitable_prevention_no_stories
  48 |      28 |     Mild |    Evitable |     CC |      1 |  100.00 |  100.00 |        3 | cc_evitable_prevention_no_stories
