"","annot_scores","p10","p2","p3","p4","p5","p7","p9","entity","outcome","subj_means","subj_se"
"1",0,-100,0,-73,9,-29,-76,-21,"I","My refusal to help may increase the burden on my mother and younger sister.",-41.4285714285714,17.0405678420924
"2",0,11,-25,-45,27,-94,45,-46,"older sister","My refusal to help may increase the burden on my mother and younger sister.",-18.1428571428571,19.8416349172763
"3",-50,-100,-89,-83,10,-91,-100,-73,"mother","My refusal to help may increase the burden on my mother and younger sister.",-75.1428571428571,15.8068701157801
"4",-40,-100,-91,-82,-25,-79,-100,-73,"younger sister","My refusal to help may increase the burden on my mother and younger sister.",-78.5714285714286,10.522085616183
"5",0,-100,-54,-48,6,-100,-100,-15,"dog","My refusal to help may increase the burden on my mother and younger sister.",-58.7142857142857,17.7556161470647
"6",0,-100,0,-39,16,-14,-65,-74,"I","The dog's care and living conditions may not improve, continuing the cycle of neglect.",-39.4285714285714,17.3138626906257
"7",0,11,-97,0,27,-23,-60,-32,"older sister","The dog's care and living conditions may not improve, continuing the cycle of neglect.",-24.8571428571429,17.5490243024578
"8",0,-100,0,-28,-26,-30,-80,-74,"mother","The dog's care and living conditions may not improve, continuing the cycle of neglect.",-48.2857142857143,14.8281157222695
"9",0,-100,0,-29,12,-11,-100,-72,"younger sister","The dog's care and living conditions may not improve, continuing the cycle of neglect.",-42.8571428571429,19.3167005628529
"10",-100,-100,-100,-96,-9,-100,-100,-100,"dog","The dog's care and living conditions may not improve, continuing the cycle of neglect.",-86.4285714285714,13.9520152723085
"11",-50,-100,-54,-88,-3,-55,-75,-75,"I","My relationship with my older sister may become more strained due to my stance.",-64.2857142857143,12.9265323306461
"12",-50,-94,-68,-94,16,83,-75,-73,"older sister","My relationship with my older sister may become more strained due to my stance.",-43.5714285714286,27.4396885539269
"13",-30,-33,0,-81,-12,-69,-25,-77,"mother","My relationship with my older sister may become more strained due to my stance.",-42.4285714285714,13.4450675442647
"14",-20,-94,0,-85,19,-73,-25,-23,"younger sister","My relationship with my older sister may become more strained due to my stance.",-40.1428571428571,17.9697717963445
"15",0,-100,-49,-80,29,100,-50,-42,"dog","My relationship with my older sister may become more strained due to my stance.",-27.4285714285714,28.2054537110754
"16",0,-100,0,-86,33,-51,-83,-13,"I","My mother and younger sister may experience increased stress and frustration.",-42.8571428571429,20.6066717505501
"17",0,16,0,-74,20,-71,-85,-26,"older sister","My mother and younger sister may experience increased stress and frustration.",-31.4285714285714,18.3785157526347
"18",-80,-100,-61,-94,18,-54,-100,-83,"mother","My mother and younger sister may experience increased stress and frustration.",-67.7142857142857,17.1508248679413
"19",-80,-100,-65,-94,7,-86,-100,-82,"younger sister","My mother and younger sister may experience increased stress and frustration.",-74.2857142857143,15.4573144960103
"20",0,-100,-72,-83,12,-100,-100,-53,"dog","My mother and younger sister may experience increased stress and frustration.",-70.8571428571429,16.5670834478569
"21",0,-77,0,-22,16,-69,-20,-37,"I","The dog may continue to suffer from a lack of proper training, attention, and care.",-29.8571428571429,13.9032941169202
"22",0,12,-27,-1,18,-25,10,-20,"older sister","The dog may continue to suffer from a lack of proper training, attention, and care.",-4.71428571428571,7.75927504386519
"23",0,-74,0,-9,-11,-55,-20,-21,"mother","The dog may continue to suffer from a lack of proper training, attention, and care.",-27.1428571428571,11.0388922839723
"24",0,-75,0,-8,-10,-49,-20,-21,"younger sister","The dog may continue to suffer from a lack of proper training, attention, and care.",-26.1428571428571,10.8613191633546
"25",-100,-100,-100,-100,16,-100,-100,-100,"dog","The dog may continue to suffer from a lack of proper training, attention, and care.",-83.4285714285714,17.8991885956027
"26",-20,-100,-23,-86,36,-100,-100,-83,"I","The living conditions in the apartment may deteriorate further without my assistance.",-65.1428571428571,21.34690788359
"27",-50,9,-23,0,17,4,2,-83,"older sister","The living conditions in the apartment may deteriorate further without my assistance.",-10.5714285714286,13.9699223390372
"28",-50,-100,-45,-87,16,-86,-100,-83,"mother","The living conditions in the apartment may deteriorate further without my assistance.",-69.2857142857143,17.1037914667971
"29",-50,-100,0,-85,29,-94,-100,-83,"younger sister","The living conditions in the apartment may deteriorate further without my assistance.",-61.8571428571429,21.7350568992285
"30",-50,-100,-68,-33,-15,-100,-100,-76,"dog","The living conditions in the apartment may deteriorate further without my assistance.",-70.2857142857143,14.0766044787368
