"","annot_scores","p1","p10","p11","p3","p4","p5","p6","p7","p8","p9","entity","outcome","subj_means","subj_se"
"1",20,-35,45,42,-88,0,-16,0,25,100,32,"I","I help the person who crashed on the bike.",10.5,17.0549221742689
"2",80,100,49,100,100,100,100,83,100,100,40,"someone on a bike","I help the person who crashed on the bike.",87.2,7.739269752134
"3",0,-30,-42,-100,-60,0,-75,-100,-39,0,-27,"my boss","I help the person who crashed on the bike.",-47.3,12.0524061426406
"4",-30,-61,-25,-100,-100,-100,-49,-40,-84,-100,0,"I","I arrive late to my first day of work.",-65.9,12.15887624762
"5",0,6,34,0,-33,0,88,0,1,0,68,"someone on a bike","I arrive late to my first day of work.",16.4,12.1515126325598
"6",-20,-60,-21,-86,-52,-79,-50,-79,-20,-100,-22,"my boss","I arrive late to my first day of work.",-56.9,9.70611363910956
"7",80,-8,43,-6,-28,0,30,21,80,87,26,"I","The person who crashed may receive necessary immediate assistance.",24.5,12.5297177606079
"8",0,67,47,-38,69,99,100,100,100,100,57,"someone on a bike","The person who crashed may receive necessary immediate assistance.",70.1,14.4071741388333
"9",0,-22,4,0,-49,0,26,-100,0,0,-7,"my boss","The person who crashed may receive necessary immediate assistance.",-14.8,11.881929427226
"10",-50,-68,-32,-100,-53,-99,-38,-80,-100,-100,-25,"I","My boss may be upset due to my tardiness.",-69.5,10.1983416710515
"11",0,2,8,0,-2,0,-17,0,0,0,41,"someone on a bike","My boss may be upset due to my tardiness.",3.2,4.89343223232382
"12",-20,-52,-31,-22,-52,0,6,-79,-10,-100,-11,"my boss","My boss may be upset due to my tardiness.",-35.1,11.6697879422586
"13",80,-21,46,100,20,80,65,45,100,100,54,"I","I may feel good about helping someone in need despite the potential consequences at work.",58.9,13.0672052043217
"14",0,66,3,100,45,79,100,0,100,22,57,"someone on a bike","I may feel good about helping someone in need despite the potential consequences at work.",57.2,12.9793758529008
"15",0,-66,6,-39,-7,0,11,-80,-30,-100,16,"my boss","I may feel good about helping someone in need despite the potential consequences at work.",-28.9,13.7378004241519
