"","outcome_name","link_type","annot_links","p1","p2","p3","p4","p5","p6","p7","p8","p9","subj_mean","agreement_percentage","subj_se"
"1","My girlfriend may experience emotional distress.","Cause",1,1,1,0,1,1,1,1,1,1,0.888888888888889,0.888888888888889,0.117851130197758
"2","My girlfriend may experience emotional distress.","Intend",0,0,0,0,0,0,1,0,0,0,0.111111111111111,0.888888888888889,0.117851130197758
"3","My girlfriend may experience emotional distress.","Expect",1,1,1,1,0,1,0,1,1,0,0.666666666666667,0.666666666666667,0.176776695296637
"4","I may feel a sense of relief or guilt.","Cause",1,1,1,0,1,1,0,1,1,0,0.666666666666667,0.666666666666667,0.176776695296637
"5","I may feel a sense of relief or guilt.","Intend",0,0,0,0,0,0,0,1,0,0,0.111111111111111,0.888888888888889,0.117851130197758
"6","I may feel a sense of relief or guilt.","Expect",1,1,1,0,0,1,1,1,1,0,0.666666666666667,0.666666666666667,0.176776695296637
"7","My girlfriend may face financial difficulties.","Cause",1,1,1,1,1,1,1,1,1,1,1,1,0
"8","My girlfriend may face financial difficulties.","Intend",0,0,0,0,0,0,1,0,0,0,0.111111111111111,0.888888888888889,0.117851130197758
"9","My girlfriend may face financial difficulties.","Expect",1,0,1,1,0,1,0,1,1,1,0.666666666666667,0.666666666666667,0.176776695296637
"10","My girlfriend may struggle with her school commitments without transportation assistance.","Cause",1,1,1,0,1,1,1,1,1,1,0.888888888888889,0.888888888888889,0.117851130197758
"11","My girlfriend may struggle with her school commitments without transportation assistance.","Intend",0,0,0,1,0,0,1,0,0,0,0.222222222222222,0.777777777777778,0.155902391115581
"12","My girlfriend may struggle with her school commitments without transportation assistance.","Expect",1,1,1,0,0,1,0,1,1,1,0.666666666666667,0.666666666666667,0.176776695296637
"13","My girlfriend may encounter challenges in daily living due to her poor English skills.","Cause",1,0,1,0,1,1,1,1,1,0,0.666666666666667,0.666666666666667,0.176776695296637
"14","My girlfriend may encounter challenges in daily living due to her poor English skills.","Intend",0,0,0,0,0,0,1,0,0,0,0.111111111111111,0.888888888888889,0.117851130197758
"15","My girlfriend may encounter challenges in daily living due to her poor English skills.","Expect",1,0,1,1,0,1,0,1,1,1,0.666666666666667,0.666666666666667,0.176776695296637
"16","I may start to pursue personal goals or relationships that align more closely with my vision for the future.","Cause",1,1,0,0,1,1,1,1,1,0,0.666666666666667,0.666666666666667,0.176776695296637
"17","I may start to pursue personal goals or relationships that align more closely with my vision for the future.","Intend",1,0,1,0,0,1,1,1,1,1,0.666666666666667,0.666666666666667,0.176776695296637
"18","I may start to pursue personal goals or relationships that align more closely with my vision for the future.","Expect",1,0,1,0,0,1,0,1,1,1,0.555555555555556,0.555555555555556,0.186338998124982
