SID,intensity,causal_condition,scenario_text,events,picked_event,picked_event_idx,option,being,C,I,K,utility,deontic,avg_permissibility_rating,avg_intention_rating
0,mild_harm_mild_good,cc_evitable_action_yes_stories,"I, an Architect, face a moral dilemma. I have the opportunity to renovate a park in the city. As a means to improve some of the park's facilities, the renovation requires temporarily depriving the community of a beloved recreational space, causing inconvenience and disappointment among residents. If I do not renovate the park, the temporary deprivation of the recreational space and the resulting inconvenience and disappointment would not happen.","['The park closes temporarily', 'Residents lose access to the recreational space during the renovation', 'Residents experience inconvenience', 'Residents experience disappointment', 'Park facilities are improved']",Residents lose access to the recreational space during the renovation,1.0,1: renovate the park.,i,+,+,+,"{'i': '0', 'residents of the community who use or value the park': '-68'}",0.0,4.153846153846154,1.9230769230769231
1,mild_harm_mild_good,cc_evitable_action_yes_stories,"I, an Engineer, face a moral dilemma. I have the opportunity to upgrade the company's server system. As a means to slightly improve data processing speed, the upgrade process requires the company's server system to be offline for a few hours, causing a temporary halt in the company's operations. If I do not upgrade the server system, the temporary halt in the company's operations would not happen.","[""I take my company's server system offline for a few hours"", ""The company's operations temporarily halt"", 'Data processing speed slightly improves after the upgrade', 'Customers or users are unable to access server-dependent services during the downtime']",The company's operations temporarily halt,1.0,1: upgrade the server system.,i,+,-,+,{'i': '-35'},38.0,4.095238095238095,2.0952380952380953
2,mild_harm_mild_good,cc_evitable_action_yes_stories,"I, a Teacher, face a moral dilemma. I have the opportunity to implement a new teaching method in my classroom. As a means to help a small number of students get better at solving math puzzles, the new teaching method requires students to attend class one hour earlier. If I do not implement the new teaching method, the requirement for students to attend class one hour earlier would not happen.","['Students attend class one hour earlier', 'A small number of students get better at solving math puzzles', 'I implement the new teaching method']",Students attend class one hour earlier,0.0,1: implement the new teaching method.,i,+,+,+,"{'students not required to attend class one hour earlier': '0', 'i': '0', 'students required to attend class one hour earlier': '-15'}",28.0,4.0476190476190474,2.0952380952380953
3,mild_harm_mild_good,cc_evitable_action_yes_stories,"I, a Nurse, face a moral dilemma. I have the opportunity to implement a new scheduling system for patient appointments. As a means to achieve a nicer looking user interface, the implementation of the new scheduling system requires a temporary disruption in booking appointments, causing a delay for patients needing to schedule their visits. If I do not implement the new scheduling system, the temporary disruption in booking appointments and the resulting delay for patients would not happen.","['I implement the new scheduling system', 'Booking appointments is temporarily disrupted', 'Patients experience delays in scheduling visits', 'Patients needing appointments experience inconvenience']",Patients experience delays in scheduling visits,2.0,1: implement the new scheduling system.,i,+,-,+,"{'patients needing to schedule their visits': '-72', 'i': '0'}",31.0,3.8846153846153846,1.8461538461538463
4,mild_harm_mild_good,cc_evitable_action_yes_stories,"I, a Chef, face a moral dilemma. I have the opportunity to change the menu of my restaurant. As a means to introduce two new food options and attract a few new customers, the change in menu requires removing some of the customer's favorite dishes, causing disappointment among regular customers. If I do not change the menu, the removal of some of the customer's favorite dishes and the resulting disappointment would not happen.","['Two new food options are added to the restaurant menu', 'Some customer favorite dishes are removed from the restaurant menu', 'A few new customers are attracted to the restaurant', 'Regular customers feel disappointed', 'I change the restaurant menu']",Regular customers feel disappointed,3.0,1: change the menu.,i,+,-,+,"{'a few new customers': '-12', 'regular customers': '-75', 'i': '0'}",-16.0,4.153846153846154,2.0
5,mild_harm_mild_good,cc_evitable_action_yes_stories,"I, an Artist, face a moral dilemma. I have the opportunity to organize an interactive outdoor art exhibit. As a means to increase local interest in art, the exhibit requires the temporary use of a public space, limiting its availability for regular community activities. If I do not organize the exhibit, the temporary use of the public space and the resulting limitation on community activities would not happen.","['I organize the interactive outdoor art exhibit', 'The public space is temporarily used for the exhibit', 'Regular community activities in the public space are temporarily limited', 'Local residents encounter the art exhibit', 'Local interest in art increases']",Regular community activities in the public space are temporarily limited,2.0,1: organize the exhibit.,i,+,-,+,"{'local community members who would use the public space during the exhibit': '-45', 'i': '-18', 'local community members who would not use the public space during the exhibit': '0'}",44.0,4.269230769230769,2.076923076923077
6,mild_harm_mild_good,cc_evitable_action_yes_stories,"I, a Lawyer, face a moral dilemma. I have the opportunity to conduct a series of intensive mock trials for my law firm's junior associates. As a means to slightly improve the litigation skills of the junior associates, conducting a series of intensive mock trials requires extra work hours for the junior associates. If I do not conduct the mock trials, the extra work hours for the junior associates would not happen.","['I conduct a series of intensive mock trials', 'Junior associates spend extra work hours on the mock trials', 'Junior associates experience increased workload', 'Junior associates slightly improve their litigation skills']",Junior associates spend extra work hours on the mock trials,1.0,1: conduct the mock trials.,i,+,+,+,"{'i': '12', 'the junior associates': '-35'}",-8.0,4.0476190476190474,2.0952380952380953
7,mild_harm_mild_good,cc_evitable_action_yes_stories,"I, a Mechanic, face a moral dilemma. I have the opportunity to reorganize a workshop for better workflow. As a means to slightly enhance efficiency in the workshop, the reorganization requires temporarily closing the workshop, delaying service to regular customers. If I do not reorganize the workshop, the temporary closure of the workshop and the resulting delay in service to regular customers would not happen.","['The workshop is temporarily closed', 'Service to regular customers is delayed', 'Regular customers experience inconvenience', 'I reorganize the workshop', 'Workshop workflow becomes more efficient']",Service to regular customers is delayed,1.0,1: reorganize the workshop.,i,+,-,+,"{'regular customers': '-55', 'i': '-15'}",15.0,4.12,1.76
8,mild_harm_mild_good,cc_evitable_action_yes_stories,"I, a Soldier, face a moral dilemma. I have the opportunity to test a new, lightweight but less protective combat gear in training exercises. As a means to test the benefits of lighter gear, it is required to remove some of the gear's heavier protection against bruises. If I do not test the new combat gear, the marginally less protection against bruises would not happen.","['I wear the new lightweight combat gear during training exercises', 'I have less protection against bruises during training exercises', 'The new lightweight combat gear is tested in training exercises']",I have less protection against bruises during training exercises,1.0,"1: test the new, lightweight combat gear.",i,+,+,+,{'i': '-52'},16.0,3.8095238095238093,1.9523809523809523
9,mild_harm_mild_good,cc_evitable_action_yes_stories,"I, a Policeman, face a moral dilemma. I have the opportunity to initiate a graffiti removal project in local neighborhoods. As a means to remove unpleasant graffiti, the graffiti removal project requires covering up street murals that have artistic value. If I do not initiate the graffiti removal project, the covering up of street murals that have artistic value would not happen.","['Unpleasant graffiti is removed from local neighborhoods', 'Street murals with artistic value are covered up', 'Residents no longer see some artistic street murals', 'I carry out a graffiti removal project']",Street murals with artistic value are covered up,1.0,1: initiate the graffiti removal project.,i,+,-,+,{'i': '-42'},-7.0,4.1923076923076925,2.076923076923077
