id,outcome
10,The heavy worker loses his life due to the collision
11,The heavy worker loses his life
16,The injured person experiences physical harm
17,The injured person experiences suffocation
18,The baby dies from suffocation
19,The baby is asphyxiated and dies
20,The unconscious crewmember is physically harmed by the falling hatch
21,The hatch falls on the unconscious crewmember below
22,The injured diver experiences pain or death
23,The injured diver is killed by the mine detonation
24,The child of the ethnic group dies
25,The child of the targeted ethnic group dies from the overdose
26,The man dies
27,The man dies or is severely injured
28,One injured person dies from being thrown off the helicopter
29,The last injured person is severely injured or killed
30,The mechanic dies
31,The mechanic dies from exposure to vacuum
32,The foreman experiences severe injury or death from contact with the overheated conduit
33,I cause severe injury or death to the trapped employee due to liquid nitrogen exposure.
34,The teenager is killed by the cinderblock
35,The teenager dies
36,The third child drowns
37,The third child is unable to escape the bus
38,The accident victim does not survive
39,The critically injured patient dies from the lethal medication
40,The fallen team member experiences physical injury
41,The crewmember in the cargo bay is harmed or killed
42,One lab assistant dies
43,I cause harm to a lab assistant.
44,The large stranger is killed by the trolley
45,The one workman on the diverted track is killed
46,My colleague experiences physical harm or death.
47,I create a hazardous environment.
48,The biker up front crashes off the road
49,The falling biker may experience additional impact from my collision.
50,The trapped soldier dies
51,I cause destruction in the bombed region.
52,The patient placed on the chemical is exposed to the toxic substance
53,The one patient in the second room is killed by the poisonous gas
54,The heavy child experiences distress and potential harm
55,The third child remains in danger of freezing to death
56,The miner in the knocked-over cubicle is prevented from ascending
57,The miners in the last cubicle are injured or killed
58,The wealthy tycoon dies sooner than expected
59,The wealthy tycoon dies sooner than would have naturally occurred
60,The spy experiences pain and suffering
61,The spy experiences increased physical pain and suffering
