SID,causal_condition,primary_harm_event_idx,primary_harm_event_text,C_val,I_val,K_val,utility_val
0,cc_evitable_action_yes_stories,1,Residents lose access to the recreational space during the renovation,+,+,+,"{'residents of the community who use or value the park': '-68', 'i': '0'}"
0,cc_evitable_prevention_no_stories,1,Community members temporarily lose access to the beloved recreational space,+,+,+,"{'park-using residents who would be inconvenienced and disappointed by the temporary closure': '-35', 'i': '-15'}"
0,cc_inevitable_action_yes_stories,1,Residents temporarily lose access to the park,-,-,+,"{'residents': '-35', 'i': '0'}"
0,cc_inevitable_prevention_no_stories,1,Community residents temporarily lose access to the park,-,-,+,"{'my colleague': '-20', 'i': '0'}"
0,coc_evitable_action_yes_stories,2,Parking prices in the city increase,+,-,+,"{'city residents who pay higher parking prices because of the new bike lane system': '-58', 'city residents who cycle more because of the new bike lane system': '18', 'i': '0', 'city residents who do not cycle more because of the new bike lane system': '-35'}"
0,coc_evitable_prevention_no_stories,2,Parking prices for cars in the city increase,+,-,+,"{'n city residents who would not cycle more and would not pay higher parking prices in the city': '5', 'n non-residents who would pay higher parking prices in the city': '-25', 'n city residents who would cycle more and would not pay higher parking prices in the city': '35', '1 architect': '-15', '1 colleague': '-15', 'n city residents who would cycle more and would pay higher parking prices in the city': '-20', 'n city residents who would not cycle more and would pay higher parking prices in the city': '-35', 'i': '0'}"
0,coc_inevitable_action_yes_stories,2,Parking prices in the city increase,-,-,+,"{'residents who cycle more': '35', 'residents who do not cycle more': '-18', 'i': '-12'}"
0,coc_inevitable_prevention_no_stories,0,My colleague proceeds with the new bike lane system,+,+,+,"{'an unknown number of city residents who would not cycle more and not park cars in the city': '5', 'an unknown number of city residents who would cycle more and park cars in the city': '55', 'an unknown number of city residents who would cycle more and not park cars in the city': '72', 'an unknown number of non-residents who park cars in the city': '-45', 'an unknown number of city residents who would not cycle more and park cars in the city': '-40', 'i': '70'}"
1,cc_evitable_action_yes_stories,1,The company's operations temporarily halt,+,-,+,{'i': '-35'}
1,cc_evitable_prevention_no_stories,1,The company's operations temporarily halt for a few hours,+,-,+,"{'my colleague': '-15', 'i': '0'}"
1,cc_inevitable_action_yes_stories,1,The company's operations temporarily halt for a few hours,-,-,+,{'i': '0'}
1,cc_inevitable_prevention_no_stories,1,The company's operations temporarily halt,-,-,+,{'i': '-35'}
1,coc_evitable_action_yes_stories,3,Employees sitting nearby experience more noise disturbance,+,-,+,"{'employees sitting nearby': '-58', 'i': '0'}"
1,coc_evitable_prevention_no_stories,2,Employees sitting nearby experience slight noise disturbance,+,-,+,"{'employees sitting nearby': '-10', 'i': '-10'}"
1,coc_inevitable_action_yes_stories,2,Employees sitting nearby experience slightly more noise disturbance,-,-,+,"{'employees sitting nearby': '-12', 'i': '0'}"
1,coc_inevitable_prevention_no_stories,2,Employees sitting nearby experience more noise disturbance,-,-,+,"{'my colleague': '-25', 'employees sitting nearby': '-35', 'i': '-30'}"
2,cc_evitable_action_yes_stories,0,Students attend class one hour earlier,+,+,+,"{'students not required to attend class one hour earlier': '0', 'students required to attend class one hour earlier': '-15', 'i': '0'}"
2,cc_evitable_prevention_no_stories,1,Students in my colleague's class are required to attend class one hour earlier,+,+,+,"{""a small number of students in my colleague's classroom who would attend class one hour earlier and improve at solving math puzzles"": '30', 'my colleague': '-25', 'i': '0', ""the remaining students in my colleague's classroom who would attend class one hour earlier without that math-puzzle improvement"": '-25'}"
2,cc_inevitable_action_yes_stories,0,Students attend class one hour earlier,-,-,+,"{'students in my classroom': '-15', 'i': '0'}"
2,cc_inevitable_prevention_no_stories,0,A small number of students get better at solving math puzzles,+,+,-,"{'my colleague': '0', ""a small number of students in my colleague's classroom who would get better at solving math puzzles"": '8', 'i': '0'}"
2,coc_evitable_action_yes_stories,2,Some less tech-savvy students experience initial confusion,+,-,+,"{'other students in my class': '-8', 'students who are less tech-savvy': '-35', 'i': '-8'}"
2,coc_evitable_prevention_no_stories,2,Some less tech-savvy students experience anxiety while adapting to the new system.,+,-,+,"{'my colleague': '-20', ""less tech-savvy students in my colleague's class"": '-55', 'i': '0', ""other students in my colleague's class"": '-8'}"
2,coc_inevitable_action_yes_stories,2,Some less tech-savvy students experience initial anxiety adapting to the new system,-,-,+,"{'students who are less tech-savvy': '-58', 'other students': '-8', 'i': '-8'}"
2,coc_inevitable_prevention_no_stories,2,Some less tech-savvy students experience initial confusion adapting to the online system,-,-,+,"{""an unspecified number of other students in my colleague's class"": '0', ""an unspecified number of less tech-savvy students in my colleague's class"": '-25', 'i': '-10'}"
3,cc_evitable_action_yes_stories,2,Patients experience delays in scheduling visits,+,-,+,"{'patients needing to schedule their visits': '-72', 'i': '0'}"
3,cc_evitable_prevention_no_stories,2,Patients needing to schedule visits experience delays,+,+,+,"{'my colleague': '0', 'patients needing to schedule their visits': '-45', 'i': '0'}"
3,cc_inevitable_action_yes_stories,2,Patients experience delays in scheduling visits,-,-,+,"{'patients needing to schedule their visits': '-72', 'i': '0'}"
3,cc_inevitable_prevention_no_stories,1,Patients experience delays in scheduling their visits,-,-,+,"{'patients needing to schedule visits': '-55', 'my colleague': '-20', 'i': '-40'}"
3,coc_evitable_action_yes_stories,1,Some elderly patients feel uncomfortable with the new digital system,+,-,+,"{'elderly patients who feel uncomfortable with the new digital system': '-68', 'non-elderly patients in the clinic': '-10', 'i': '0'}"
3,coc_evitable_prevention_no_stories,1,Some elderly patients feel uncomfortable with the new digital system,+,-,+,"{'my colleague': '-25', 'some elderly patients in the clinic who would feel uncomfortable with the new digital system': '-45', 'i': '0', 'all other patients in the clinic who would not feel that discomfort and would have faster record access': '35'}"
3,coc_inevitable_action_yes_stories,2,Some elderly patients feel uncomfortable with the new digital system,-,-,+,"{'elderly patients in the clinic': '-55', 'i': '0'}"
3,coc_inevitable_prevention_no_stories,1,Some elderly patients feel uncomfortable with the digital system,-,-,+,"{'my colleague': '-45', 'i': '0'}"
4,cc_evitable_action_yes_stories,3,Regular customers feel disappointed,+,-,+,"{'regular customers': '-75', 'i': '0', 'a few new customers': '-12'}"
4,cc_evitable_prevention_no_stories,3,Regular customers feel disappointed,+,-,+,"{'an unspecified number of regular customers whose favorite dishes would be removed and who would be disappointed if the menu changes': '-35', 'a few new customers': '-10', '1 chef': '-55', '1 sous-chef': '-35', 'an unspecified number of other regular customers': '-25', 'i': '-45'}"
4,cc_inevitable_action_yes_stories,2,Regular customers feel disappointed,-,-,+,"{'new customers attracted by the two new food options': '-10', 'regular customers disappointed by removed favorite dishes': '-72', 'i': '0'}"
4,cc_inevitable_prevention_no_stories,2,Regular customers feel disappointed,-,-,+,"{'new customers attracted by the two new food options': '0', 'my sous-chef': '-45', 'regular customers disappointed by the removal of favorite dishes': '-25', 'i': '0'}"
4,coc_evitable_action_yes_stories,3,Customers miss the previous food presentation style,+,-,+,"{""customers of the restaurant's takeaway orders"": '-42', 'i': '-42'}"
4,coc_evitable_prevention_no_stories,3,Customers miss the previous food presentation style,+,-,+,"{'my colleague': '-35', 'i': '-35', 'restaurant takeaway customers': '-20'}"
4,coc_inevitable_action_yes_stories,3,Customers miss the previous style of food presentation,-,-,+,"{'customers': '-42', 'i': '-52'}"
4,coc_inevitable_prevention_no_stories,2,Customers miss the previous presentation style.,-,-,+,"{'1 colleague': '-15', 'an unspecified number of restaurant takeaway customers': '-18', 'i': '-35', '1 chef': '-35'}"
5,cc_evitable_action_yes_stories,2,Regular community activities in the public space are temporarily limited,+,-,+,"{'local community members who would not use the public space during the exhibit': '0', 'i': '-18', 'local community members who would use the public space during the exhibit': '-45'}"
5,cc_evitable_prevention_no_stories,2,Community members have less access to the public space for their regular activities during the exhibit.,+,-,+,"{'an unknown number of community members whose regular activities would be limited by the temporary use of the public space': '-35', '1 artist': '25', '1 colleague': '-20', 'an unknown number of local people whose interest in art could increase because of the exhibit': '-20', 'i': '-35'}"
5,cc_inevitable_action_yes_stories,2,Regular community activities in the public space are temporarily limited,-,-,+,"{'community members who would use the public space for regular activities': '-62', 'people who attend the interactive outdoor art exhibit': '-62', 'i': '-18', 'local festival organizers': '-72'}"
5,cc_inevitable_prevention_no_stories,4,Community members who normally use the space have their activities displaced or disrupted,-,-,+,"{'community members who use the public space for regular activities': '-70', 'community members who would attend or benefit from the art exhibit': '-35', 'people involved in the local festival': '20', 'i': '-35'}"
5,coc_evitable_action_yes_stories,3,My artworks take longer to dry,+,-,+,{'i': '-18'}
5,coc_evitable_prevention_no_stories,3,My colleague's artworks take longer to dry,+,-,+,"{'my colleague': '-25', 'i': '0'}"
5,coc_inevitable_action_yes_stories,2,My artworks take longer to dry,-,-,+,{'i': '-18'}
5,coc_inevitable_prevention_no_stories,2,My colleague's artworks take longer to dry,-,-,+,"{'my colleague': '-15', 'i': '0'}"
6,cc_evitable_action_yes_stories,2,Junior associates experience increased workload,+,-,+,"{'i': '0', 'the junior associates': '-65'}"
6,cc_evitable_prevention_no_stories,2,The junior associates work extra hours,+,+,+,"{'junior associates': '-25', 'my colleague': '10', 'i': '-35'}"
6,cc_inevitable_action_yes_stories,1,Junior associates spend extra work hours on the mock trials,+,-,+,"{'junior associates': '-35', 'i': '12'}"
6,cc_inevitable_prevention_no_stories,2,The junior associates work extra hours,-,-,+,"{'junior associates': '-35', 'my colleague': '15', 'i': '0'}"
6,coc_evitable_action_yes_stories,3,Some complex legal documents contain formatting problems,+,-,+,"{'i': '0', 'junior staff members': '-35'}"
6,coc_evitable_prevention_no_stories,2,Some more complex legal documents have formatting or content problems,+,-,-,{'i': '-35'}
6,coc_inevitable_action_yes_stories,1,Some legal documents are generated with formatting problems,+,-,+,"{'i': '0', 'junior staff members': '-35'}"
6,coc_inevitable_prevention_no_stories,2,Law firm staff encounter occasional formatting and content problems in more complex documents,+,-,+,"{'my colleague': '-18', 'i': '0', 'junior staff members': '-20'}"
7,cc_evitable_action_yes_stories,1,Service to regular customers is delayed,+,-,+,"{'regular customers': '-55', 'i': '-15'}"
7,cc_evitable_prevention_no_stories,2,Regular customers experience delayed service,+,-,+,"{'regular customers': '-35', 'my colleague': '-20', 'i': '-30'}"
7,cc_inevitable_action_yes_stories,3,Regular customers experience delayed service,-,-,+,"{'regular customers': '-68', 'i': '0'}"
7,cc_inevitable_prevention_no_stories,0,My colleague reorganizes the workshop,+,+,+,"{'regular customers': '8', 'my colleague': '20', 'i': '20'}"
7,coc_evitable_action_yes_stories,3,Some workers feel distracted,+,-,+,"{'some workers': '-15', 'i': '0'}"
7,coc_evitable_prevention_no_stories,2,Some workers are distracted by the low humming noise,+,-,+,"{'my colleague': '-10', 'an unspecified number of other workers who would be distracted by the low humming noise': '-15', 'i': '0'}"
7,coc_inevitable_action_yes_stories,3,Some workers feel distracted,-,-,+,"{'some workers': '-15', 'i': '0'}"
7,coc_inevitable_prevention_no_stories,2,Some workers are distracted by the low humming noise,-,-,+,"{'1 mechanic': '-12', '1 colleague': '-15', 'n workers distracted by the humming noise': '-15', 'i': '0'}"
8,cc_evitable_action_yes_stories,1,I have less protection against bruises during training exercises,+,+,+,{'i': '-52'}
8,cc_evitable_prevention_no_stories,0,My colleague has less protection against bruises during the training exercises.,+,+,+,"{'my colleague': '-35', 'i': '-8'}"
8,cc_inevitable_action_yes_stories,1,I have less protection against bruises during training exercises,-,+,+,{'i': '-42'}
8,cc_inevitable_prevention_no_stories,3,My colleague faces a higher risk of bruises during training,-,-,+,{'i': '-15'}
8,coc_evitable_action_yes_stories,2,Some soldiers experience short dizziness after extended VR sessions,+,-,+,"{'the rest of my team who would not experience short dizziness after extended vr sessions': '5', '4 soldiers who would experience short dizziness after extended vr sessions': '-12', 'i': '0'}"
8,coc_evitable_prevention_no_stories,1,Some soldiers experience short dizziness after extended VR sessions,+,-,-,"{'my colleague': '-5', 'i': '-10'}"
8,coc_inevitable_action_yes_stories,1,Some soldiers experience short dizziness after extended virtual reality sessions,-,-,+,"{'1 team of soldiers who would participate in the advanced vr combat training': '-18', 'i': '0'}"
8,coc_inevitable_prevention_no_stories,2,Some soldiers experience short dizziness after extended VR sessions,-,-,+,"{'my colleague': '0', 'her team members who would experience short dizziness from vr sessions': '-10', 'i': '0', 'her team members who would not experience short dizziness from vr sessions': '0'}"
9,cc_evitable_action_yes_stories,1,Street murals with artistic value are covered up,+,-,+,{'i': '-42'}
