scenario_id,folder_name,evitability,means_side_effect,commission_omission,scenario_text,options,avg_permissibility_rating,avg_intention_rating,events_cik_utilities,selected_event
0,cc_evitable_action_yes_stories,Evitable,CC (Means),Commission,"I, an Architect, face a moral dilemma. I have the opportunity to renovate a park in the city. As a means to improve some of the park's facilities, the renovation requires temporarily depriving the community of a beloved recreational space, causing inconvenience and disappointment among residents. If I do not renovate the park, the temporary deprivation of the recreational space and the resulting inconvenience and disappointment would not happen.","{'1': 'renovate the park.', '2': 'not renovate the park.'}",4.153846153846154,1.9230769230769231,"[('I initiate renovation work in the park', '+', '+', '+', '20'), ('The community temporarily loses access to the recreational space', '+', '+', '+', '-10'), ('Residents experience inconvenience due to park closure', '+', '+', '+', '-20'), ('Residents feel disappointment over the temporary loss of the park', '+', '+', '+', '-20'), (""The park's facilities are improved after renovation"", '+', '+', '+', '80')]","('The community temporarily loses access to the recreational space', '+', '+', '+', '-10')"
0,cc_evitable_prevention_no_stories,Evitable,CC (Means),Omission,"I, an Architect, face a moral dilemma. My colleague has the opportunity to renovate a park in the city. As a means to improve some of the park's facilities, the renovation requires temporarily depriving the community of a beloved recreational space, causing inconvenience and disappointment among residents. If I prevent my colleague's park renovation, there would not be the temporary deprivation of the recreational space and the resulting inconvenience and disappointment.","{'1': ""prevent my colleague's park renovation."", '2': ""not prevent my colleague's park renovation.""}",4.28,1.96,"[('The community retains continuous access to the beloved recreational space.', '+', '+', '+', '50'), ('Residents do not experience temporary inconvenience due to park closure.', '+', '+', '+', '20'), ('The park facilities remain in their current state without improvements.', '+', '+', '+', '20'), (""The colleague's opportunity to renovate the park is blocked."", '+', '+', '+', '10'), ('Potential long-term benefits from park improvements are not realized.', '+', '-', '+', '-20')]","('Potential long-term benefits from park improvements are not realized.', '+', '-', '+', '-20')"
0,cc_inevitable_action_yes_stories,Inevitable,CC (Means),Commission,"I, an Architect, face a moral dilemma. I have the opportunity to renovate a park in the city. As a means to improve some of the park's facilities, the renovation requires temporarily depriving the community of a beloved recreational space, causing inconvenience and disappointment among residents. If I do not renovate the park, the temporary deprivation of the recreational space and the resulting inconvenience and disappointment would still happen because of a city mandate for construction.","{'1': 'renovate the park.', '2': 'not renovate the park.'}",3.952380952380953,2.4761904761904763,"[('I initiate the park renovation project', '+', '+', '+', '20'), ('The community temporarily loses access to the recreational space', '-', '+', '+', '-10'), ('Residents experience inconvenience due to the park closure', '-', '-', '+', '-10'), ('Residents feel disappointment over the temporary loss of the park', '-', '-', '+', '-20'), (""The park's facilities are improved after renovation"", '+', '+', '+', '80'), ('The community eventually regains access to an enhanced recreational space', '+', '+', '+', '80')]","('The community temporarily loses access to the recreational space', '-', '+', '+', '-10')"
0,cc_inevitable_prevention_no_stories,Inevitable,CC (Means),Omission,"I, an Architect, face a moral dilemma. My colleague has the opportunity to renovate a park in the city. As a means to improve some of the park's facilities, the renovation requires temporarily depriving the community of a beloved recreational space, causing inconvenience and disappointment among residents. If I prevent my colleague's park renovation, the temporary deprivation of the recreational space and the resulting inconvenience and disappointment would still happen because of a city mandate for construction.","{'1': ""prevent my colleague's park renovation."", '2': ""not prevent my colleague's park renovation.""}",3.952380952380953,2.6666666666666665,"[(""I prevent the colleague's park renovation project from proceeding"", '+', '+', '+', '10'), ('The community experiences temporary deprivation of the recreational space due to the city mandate', '-', '-', '+', '-20'), ('Residents feel inconvenience from the lack of access to the park facilities', '-', '-', '+', '-20'), ('Residents feel disappointment over the temporary loss of the recreational space', '-', '-', '+', '-10'), ('The colleague is unable to implement their planned improvements to the park', '+', '+', '+', '10'), (""The park remains in its current state without the colleague's renovation enhancements"", '+', '+', '+', '20')]","('The community experiences temporary deprivation of the recreational space due to the city mandate', '-', '-', '+', '-20')"
0,coc_evitable_action_yes_stories,Evitable,COC (SideEff),Commission,"I, an Architect, face a moral dilemma. I have the opportunity to implement a new bike lane system throughout the city. The new bike lane system encourages residents to cycle more. As a side effect of encouraging residents to cycle more, the implementation of the bike lanes increases the prices for parking cars in the city. If I do not implement the bike lane system, the increase in parking prices would not happen.","{'1': 'implement the new bike lane system.', '2': 'not implement the new bike lane system.'}",4.2727272727272725,2.0454545454545454,"[('I implement the new bike lane system throughout the city.', '+', '+', '+', '50'), ('Residents are encouraged to cycle more', '+', '+', '+', '50'), ('More residents choose to use bicycles for transportation', '+', '+', '+', '50'), ('Parking prices for cars in the city increase', '+', '-', '+', '0'), ('Some residents face higher costs for parking their cars', '+', '+', '+', '0'), ('Traffic patterns in the city may shift due to increased cycling', '+', '+', '+', '20'), ('Potential reduction in car usage within the city', '+', '+', '+', '70'), ('Possible improvement in air quality due to less car emissions', '+', '+', '-', '50'), ('Increased safety for cyclists due to dedicated bike lanes', '+', '+', '+', '30')]","('Some residents face higher costs for parking their cars', '+', '+', '+', '0')"
0,coc_evitable_prevention_no_stories,Evitable,COC (SideEff),Omission,"I, an Architect, face a moral dilemma. My colleague has the opportunity to implement a new bike lane system throughout the city. The new bike lane system encourages residents to cycle more. As a side effect of encouraging residents to cycle more, the implementation of the bike lanes increases the prices for parking cars in the city. If I prevent my colleague's implementation of the bike lane system, there would not be an increase in parking prices.","{'1': ""prevent my colleague's implementation of the bike lane system."", '2': ""not prevent my colleague's implementation of the bike lane system.""}",4.238095238095238,1.9523809523809523,"[('I prevent the implementation of the new bike lane system.', '+', '+', '+', '0'), ('Residents do not receive encouragement to cycle more.', '+', '+', '+', '0'), ('Parking prices in the city do not increase.', '+', '+', '+', '50'), ('Potential reduction in cycling-related health benefits for residents.', '+', '-', '+', '-20'), ('Potential continuation of higher car usage and associated traffic congestion.', '+', '-', '+', '-20'), (""Colleague's plan and efforts to improve cycling infrastructure are halted."", '+', '+', '+', '20'), (""City's environmental benefits from increased cycling are not realized."", '+', '-', '+', '0')]","('Residents do not receive encouragement to cycle more.', '+', '+', '+', '0')"
0,coc_inevitable_action_yes_stories,Inevitable,COC (SideEff),Commission,"I, an Architect, face a moral dilemma. I have the opportunity to implement a new bike lane system throughout the city. The new bike lane system encourages residents to cycle more. As a side effect of encouraging residents to cycle more, the implementation of the bike lanes increases the prices for parking cars in the city. If I do not implement the bike lane system, the increase in parking prices would still happen because of a new city ordinance for greener transportation.","{'1': 'implement the new bike lane system.', '2': 'not implement the new bike lane system.'}",4.045454545454546,2.409090909090909,"[('I implement the new bike lane system throughout the city.', '+', '+', '+', '50'), ('Parking prices for cars in the city increase', '-', '-', '+', '-10'), ('Cycling becomes a more common mode of transportation', '+', '+', '+', '70'), ('Car usage may decrease due to higher parking costs', '-', '-', '+', '20'), ('City experiences a shift towards greener transportation', '-', '+', '+', '70'), ('Residents who cycle benefit from improved infrastructure', '+', '+', '+', '50'), ('Residents who drive face higher parking expenses', '-', '-', '+', '0')]","('Residents who drive face higher parking expenses', '-', '-', '+', '0')"
0,coc_inevitable_prevention_no_stories,Inevitable,COC (SideEff),Omission,"I, an Architect, face a moral dilemma. My colleague has the opportunity to implement a new bike lane system throughout the city. The new bike lane system encourages residents to cycle more. As a side effect of encouraging residents to cycle more, the implementation of the bike lanes increases the prices for parking cars in the city. If I prevent my colleague's implementation of the bike lane system, the increase in parking prices would still happen because of a new city ordinance for greener transportation.","{'1': ""prevent my colleague's implementation of the bike lane system."", '2': ""not prevent my colleague's implementation of the bike lane system.""}",3.9615384615384617,2.269230769230769,"[('I prevent the implementation of the new bike lane system by the colleague', '+', '+', '+', '20'), ('Residents do not receive the encouragement to cycle more from the new bike lane system', '+', '+', '+', '20'), ('The increase in parking prices for cars in the city still occurs due to the new city ordinance', '-', '-', '+', '-20'), ('The colleague experiences frustration or disappointment from the prevention of the bike lane system', '+', '-', '+', '-20'), ('The city does not gain the potential benefits of the new bike lane system such as improved cycling infrastructure', '+', '-', '+', '-20'), ('Residents may have fewer safe or convenient options for cycling compared to if the bike lane system was implemented', '+', '-', '+', '-20')]","('The increase in parking prices for cars in the city still occurs due to the new city ordinance', '-', '-', '+', '-20')"
1,cc_evitable_action_yes_stories,Evitable,CC (Means),Commission,"I, an Engineer, face a moral dilemma. I have the opportunity to upgrade the company's server system. As a means to slightly improve data processing speed, the upgrade process requires the company's server system to be offline for a few hours, causing a temporary halt in the company's operations. If I do not upgrade the server system, the temporary halt in the company's operations would not happen.","{'1': 'upgrade the server system.', '2': 'not upgrade the server system.'}",4.095238095238095,2.095238095238096,"[('I initiate the server system upgrade', '+', '+', '+', '20'), (""The company's server system goes offline for a few hours"", '+', '+', '+', '-20'), (""The company's operations temporarily halt during the server downtime"", '+', '+', '+', '-20'), (""Data processing speed of the company's server system improves after the upgrade"", '+', '+', '-', '70'), ('Employees experience a temporary disruption in their work', '+', '+', '+', '-20'), ('Clients or customers experience a temporary service interruption', '+', '+', '+', '-30')]","(""The company's operations temporarily halt during the server downtime"", '+', '+', '+', '-20')"
1,cc_evitable_prevention_no_stories,Evitable,CC (Means),Omission,"I, an Engineer, face a moral dilemma. My colleague has the opportunity to upgrade the company's server system. As a means to slightly improve data processing speed, the upgrade process requires the company's server system to be offline for a few hours, causing a temporary halt in the company's operations. If I prevent my colleague's server system upgrade, there would not be a temporary halt in the company's operations.","{'1': ""prevent my colleague's server system upgrade."", '2': ""not prevent my colleague's server system upgrade.""}",4.384615384615385,1.9230769230769231,"[(""The company's server system remains online without interruption"", '+', '+', '+', '50'), (""The company's operations continue without a temporary halt"", '+', '+', '+', '50'), ('The data processing speed does not improve', '+', '+', '+', '0'), (""The colleague's plan to upgrade the server system is blocked"", '+', '+', '+', '20'), ('Potential future efficiency gains from the upgrade are delayed or lost', '+', '+', '+', '-30')]","('Potential future efficiency gains from the upgrade are delayed or lost', '+', '+', '+', '-30')"
