causal_condition,SID,intensity,scenario_text,option,event,being,C,I,K,utility,avg_permissibility_rating,avg_intention_rating
cc_evitable_action_yes_stories,0,mild_harm_mild_good,"I, an Architect, face a moral dilemma. I have the opportunity to renovate a park in the city. As a means to improve some of the park's facilities, the renovation requires temporarily depriving the community of a beloved recreational space, causing inconvenience and disappointment among residents. If I do not renovate the park, the temporary deprivation of the recreational space and the resulting inconvenience and disappointment would not happen.",1: renovate the park.,"['The park closes temporarily', 'Residents lose access to the recreational space during the renovation', 'Residents experience inconvenience', 'Residents experience disappointment', 'Park facilities are improved']",i,"['+', '+', '+', '+', '+']","['+', '+', '-', '-', '+']","['+', '+', '+', '+', '+']","[{'residents of the community who use or value the park': '-55', 'i': '0'}, {'residents of the community who use or value the park': '-68', 'i': '0'}, {'residents of the community who use or value the park': '-35', 'i': '0'}, {'residents of the community who use or value the park': '-55', 'i': '-12'}, {'residents of the community who use or value the park': '84', 'i': '12'}]",4.153846153846154,1.9230769230769231
cc_evitable_action_yes_stories,1,mild_harm_mild_good,"I, an Engineer, face a moral dilemma. I have the opportunity to upgrade the company's server system. As a means to slightly improve data processing speed, the upgrade process requires the company's server system to be offline for a few hours, causing a temporary halt in the company's operations. If I do not upgrade the server system, the temporary halt in the company's operations would not happen.",1: upgrade the server system.,"[""I take my company's server system offline for a few hours"", ""The company's operations temporarily halt"", 'Data processing speed slightly improves after the upgrade', 'Customers or users are unable to access server-dependent services during the downtime']",i,"['+', '+', '+', '+']","['+', '-', '+', '-']","['+', '+', '+', '+']","[{'i': '-35'}, {'i': '-35'}, {'i': '12'}, {'i': '0'}]",4.095238095238095,2.0952380952380953
cc_evitable_action_yes_stories,2,mild_harm_mild_good,"I, a Teacher, face a moral dilemma. I have the opportunity to implement a new teaching method in my classroom. As a means to help a small number of students get better at solving math puzzles, the new teaching method requires students to attend class one hour earlier. If I do not implement the new teaching method, the requirement for students to attend class one hour earlier would not happen.",1: implement the new teaching method.,"['Students attend class one hour earlier', 'A small number of students get better at solving math puzzles', 'I implement the new teaching method']",i,"['+', '+', '+']","['+', '+', '+']","['+', '+', '+']","[{'students not required to attend class one hour earlier': '0', 'i': '0', 'students required to attend class one hour earlier': '-15'}, {'students not required to attend class one hour earlier': '1', 'i': '0', 'students required to attend class one hour earlier': '0'}, {'students not required to attend class one hour earlier': '10', 'i': '72', 'students required to attend class one hour earlier': '-55'}]",4.0476190476190474,2.0952380952380953
cc_evitable_action_yes_stories,3,mild_harm_mild_good,"I, a Nurse, face a moral dilemma. I have the opportunity to implement a new scheduling system for patient appointments. As a means to achieve a nicer looking user interface, the implementation of the new scheduling system requires a temporary disruption in booking appointments, causing a delay for patients needing to schedule their visits. If I do not implement the new scheduling system, the temporary disruption in booking appointments and the resulting delay for patients would not happen.",1: implement the new scheduling system.,"['I implement the new scheduling system', 'Booking appointments is temporarily disrupted', 'Patients experience delays in scheduling visits', 'Patients needing appointments experience inconvenience']",i,"['+', '+', '+', '+']","['+', '+', '-', '-']","['+', '+', '+', '+']","[{'patients needing to schedule their visits': '72', 'i': '75'}, {'patients needing to schedule their visits': '-68', 'i': '-12'}, {'patients needing to schedule their visits': '-72', 'i': '0'}, {'patients needing to schedule their visits': '-72', 'i': '0'}]",3.8846153846153846,1.8461538461538463
cc_evitable_action_yes_stories,4,mild_harm_mild_good,"I, a Chef, face a moral dilemma. I have the opportunity to change the menu of my restaurant. As a means to introduce two new food options and attract a few new customers, the change in menu requires removing some of the customer's favorite dishes, causing disappointment among regular customers. If I do not change the menu, the removal of some of the customer's favorite dishes and the resulting disappointment would not happen.",1: change the menu.,"['Two new food options are added to the restaurant menu', 'Some customer favorite dishes are removed from the restaurant menu', 'A few new customers are attracted to the restaurant', 'Regular customers feel disappointed', 'I change the restaurant menu']",i,"['+', '+', '+', '+', '+']","['+', '+', '+', '-', '+']","['+', '+', '+', '+', '+']","[{'a few new customers': '35', 'i': '0', 'regular customers': '42'}, {'a few new customers': '-12', 'i': '0', 'regular customers': '-62'}, {'a few new customers': '0', 'i': '18', 'regular customers': '12'}, {'a few new customers': '-12', 'i': '0', 'regular customers': '-75'}, {'a few new customers': '35', 'i': '12', 'regular customers': '-8'}]",4.153846153846154,2.0
cc_evitable_action_yes_stories,5,mild_harm_mild_good,"I, an Artist, face a moral dilemma. I have the opportunity to organize an interactive outdoor art exhibit. As a means to increase local interest in art, the exhibit requires the temporary use of a public space, limiting its availability for regular community activities. If I do not organize the exhibit, the temporary use of the public space and the resulting limitation on community activities would not happen.",1: organize the exhibit.,"['I organize the interactive outdoor art exhibit', 'The public space is temporarily used for the exhibit', 'Regular community activities in the public space are temporarily limited', 'Local residents encounter the art exhibit', 'Local interest in art increases']",i,"['+', '+', '+', '+', '+']","['+', '+', '-', '+', '+']","['+', '+', '+', '+', '-']","[{'local community members who would not use the public space during the exhibit': '5', 'i': '78', 'local community members who would use the public space during the exhibit': '72'}, {'local community members who would not use the public space during the exhibit': '5', 'i': '0', 'local community members who would use the public space during the exhibit': '-10'}, {'local community members who would not use the public space during the exhibit': '0', 'i': '-18', 'local community members who would use the public space during the exhibit': '-45'}, {'local community members who would not use the public space during the exhibit': '5', 'i': '12', 'local community members who would use the public space during the exhibit': '35'}, {'local community members who would not use the public space during the exhibit': '5', 'i': '0', 'local community members who would use the public space during the exhibit': '72'}]",4.269230769230769,2.076923076923077
cc_evitable_action_yes_stories,6,mild_harm_mild_good,"I, a Lawyer, face a moral dilemma. I have the opportunity to conduct a series of intensive mock trials for my law firm's junior associates. As a means to slightly improve the litigation skills of the junior associates, conducting a series of intensive mock trials requires extra work hours for the junior associates. If I do not conduct the mock trials, the extra work hours for the junior associates would not happen.",1: conduct the mock trials.,"['I conduct a series of intensive mock trials', 'Junior associates spend extra work hours on the mock trials', 'Junior associates experience increased workload', 'Junior associates slightly improve their litigation skills']",i,"['+', '+', '+', '+']","['+', '+', '-', '+']","['+', '+', '+', '+']","[{'the junior associates': '72', 'i': '72'}, {'the junior associates': '-35', 'i': '12'}, {'the junior associates': '-65', 'i': '0'}, {'the junior associates': '18', 'i': '12'}]",4.0476190476190474,2.0952380952380953
cc_evitable_action_yes_stories,7,mild_harm_mild_good,"I, a Mechanic, face a moral dilemma. I have the opportunity to reorganize a workshop for better workflow. As a means to slightly enhance efficiency in the workshop, the reorganization requires temporarily closing the workshop, delaying service to regular customers. If I do not reorganize the workshop, the temporary closure of the workshop and the resulting delay in service to regular customers would not happen.",1: reorganize the workshop.,"['The workshop is temporarily closed', 'Service to regular customers is delayed', 'Regular customers experience inconvenience', 'I reorganize the workshop', 'Workshop workflow becomes more efficient']",i,"['+', '+', '+', '+', '+']","['+', '-', '-', '+', '+']","['+', '+', '+', '+', '+']","[{'i': '-15', 'regular customers': '-55'}, {'i': '-15', 'regular customers': '-55'}, {'i': '0', 'regular customers': '-65'}, {'i': '35', 'regular customers': '18'}, {'i': '72', 'regular customers': '72'}]",4.12,1.76
cc_evitable_action_yes_stories,8,mild_harm_mild_good,"I, a Soldier, face a moral dilemma. I have the opportunity to test a new, lightweight but less protective combat gear in training exercises. As a means to test the benefits of lighter gear, it is required to remove some of the gear's heavier protection against bruises. If I do not test the new combat gear, the marginally less protection against bruises would not happen.","1: test the new, lightweight combat gear.","['I wear the new lightweight combat gear during training exercises', 'I have less protection against bruises during training exercises', 'The new lightweight combat gear is tested in training exercises']",i,"['+', '+', '+']","['+', '+', '+']","['+', '+', '+']","[{'i': '72'}, {'i': '-52'}, {'i': '35'}]",3.8095238095238093,1.9523809523809523
cc_evitable_action_yes_stories,9,mild_harm_mild_good,"I, a Policeman, face a moral dilemma. I have the opportunity to initiate a graffiti removal project in local neighborhoods. As a means to remove unpleasant graffiti, the graffiti removal project requires covering up street murals that have artistic value. If I do not initiate the graffiti removal project, the covering up of street murals that have artistic value would not happen.",1: initiate the graffiti removal project.,"['Unpleasant graffiti is removed from local neighborhoods', 'Street murals with artistic value are covered up', 'Residents no longer see some artistic street murals', 'I carry out a graffiti removal project']",i,"['+', '+', '+', '+']","['+', '-', '-', '+']","['+', '+', '+', '+']","[{'i': '42'}, {'i': '-42'}, {'i': '-12'}, {'i': '72'}]",4.1923076923076925,2.076923076923077
cc_evitable_prevention_no_stories,0,mild_harm_mild_good,"I, an Architect, face a moral dilemma. My colleague has the opportunity to renovate a park in the city. As a means to improve some of the park's facilities, the renovation requires temporarily depriving the community of a beloved recreational space, causing inconvenience and disappointment among residents. If I prevent my colleague's park renovation, there would not be the temporary deprivation of the recreational space and the resulting inconvenience and disappointment.",2: not prevent my colleague's park renovation.,"['My colleague proceeds with the park renovation', 'Community members temporarily lose access to the beloved recreational space', 'Residents experience inconvenience', 'Residents experience disappointment']",i,"['+', '+', '+', '+']","['+', '+', '-', '-']","['+', '+', '+', '+']","[{'i': '70', 'park-using residents who would be inconvenienced and disappointed by the temporary closure': '-35'}, {'i': '-15', 'park-using residents who would be inconvenienced and disappointed by the temporary closure': '-35'}, {'i': '0', 'park-using residents who would be inconvenienced and disappointed by the temporary closure': '-25'}, {'i': '-5', 'park-using residents who would be inconvenienced and disappointed by the temporary closure': '-35'}]",4.28,1.96
cc_evitable_prevention_no_stories,1,mild_harm_mild_good,"I, an Engineer, face a moral dilemma. My colleague has the opportunity to upgrade the company's server system. As a means to slightly improve data processing speed, the upgrade process requires the company's server system to be offline for a few hours, causing a temporary halt in the company's operations. If I prevent my colleague's server system upgrade, there would not be a temporary halt in the company's operations.",2: not prevent my colleague's server system upgrade.,"[""The company's server system is offline for a few hours"", ""The company's operations temporarily halt for a few hours"", 'Data processing speed slightly improves']",i,"['+', '+', '+']","['+', '-', '+']","['+', '+', '+']","[{'my colleague': '-20', 'i': '-20'}, {'my colleague': '-15', 'i': '0'}, {'my colleague': '8', 'i': '5'}]",4.384615384615385,1.9230769230769231
cc_evitable_prevention_no_stories,2,mild_harm_mild_good,"I, a Teacher, face a moral dilemma. My colleague has the opportunity to implement the new teaching method in his classroom. As a means to help a small number of students get better at solving math puzzles, the new teaching method requires students to attend class one hour earlier. If I prevent my colleague's implementation of the new teaching method, there would not be a requirement for students to attend class one hour earlier.",2: not prevent my colleague's implementation of the new teaching method.,"['My colleague implements the new teaching method in the classroom', ""Students in my colleague's class are required to attend class one hour earlier"", 'A small number of students get better at solving math puzzles']",i,"['+', '+', '+']","['+', '+', '+']","['-', '+', '-']","[{""a small number of students in my colleague's classroom who would attend class one hour earlier and improve at solving math puzzles"": '40', 'my colleague': '25', ""the remaining students in my colleague's classroom who would attend class one hour earlier without that math-puzzle improvement"": '25', 'i': '10'}, {""a small number of students in my colleague's classroom who would attend class one hour earlier and improve at solving math puzzles"": '30', 'my colleague': '-25', ""the remaining students in my colleague's classroom who would attend class one hour earlier without that math-puzzle improvement"": '-25', 'i': '0'}, {""a small number of students in my colleague's classroom who would attend class one hour earlier and improve at solving math puzzles"": '35', 'my colleague': '0', ""the remaining students in my colleague's classroom who would attend class one hour earlier without that math-puzzle improvement"": '0', 'i': '0'}]",4.238095238095238,2.0476190476190474
cc_evitable_prevention_no_stories,3,mild_harm_mild_good,"I, a Nurse, face a moral dilemma. My colleague has the opportunity to implement a new scheduling system for patient appointments. As a means to achieve a nicer looking user interface, the implementation of the new scheduling system requires a temporary disruption in booking appointments, causing a delay for patients needing to schedule their visits. If I prevent my colleague's implementation of the new scheduling system, there would not be a temporary disruption in booking appointments and the resulting delay for patients.",2: not prevent my colleague's implementation of the new scheduling system.,"['My colleague implements the new scheduling system', 'Booking appointments is temporarily disrupted', 'Patients needing to schedule visits experience delays', 'Patients and staff use a nicer-looking scheduling interface']",i,"['+', '+', '+', '+']","['+', '+', '+', '+']","['+', '+', '+', '+']","[{'patients needing to schedule their visits': '60', 'my colleague': '25', 'i': '30'}, {'patients needing to schedule their visits': '-35', 'my colleague': '-20', 'i': '-12'}, {'patients needing to schedule their visits': '-45', 'my colleague': '0', 'i': '0'}, {'patients needing to schedule their visits': '20', 'my colleague': '10', 'i': '18'}]",4.28,1.76
