"","outcome_name","link_type","annot_links","p1","p10","p11","p3","p4","p5","p6","p7","p8","p9","subj_mean","agreement_percentage","subj_se"
"1","I help the person who crashed on the bike.","Cause",1,0,1,0,0,0,0,0,0,1,0,0.2,0.2,0.140545673785261
"2","I help the person who crashed on the bike.","Intend",0,1,1,1,1,1,1,0,0,1,1,0.8,0.2,0.140545673785261
"3","I help the person who crashed on the bike.","Expect",0,0,1,0,0,0,0,1,0,1,0,0.3,0.7,0.161015297179883
"4","I arrive late to my first day of work.","Cause",1,1,1,1,0,0,1,1,0,1,0,0.6,0.6,0.172132593164774
"5","I arrive late to my first day of work.","Intend",0,0,0,1,0,0,0,0,0,1,0,0.2,0.8,0.140545673785261
"6","I arrive late to my first day of work.","Expect",0,1,1,1,1,1,0,0,0,1,1,0.7,0.3,0.161015297179883
"7","The person who crashed may receive necessary immediate assistance.","Cause",1,1,1,0,0,1,1,0,1,1,0,0.6,0.6,0.172132593164774
"8","The person who crashed may receive necessary immediate assistance.","Intend",1,1,1,0,1,0,1,0,1,0,1,0.6,0.6,0.172132593164774
"9","The person who crashed may receive necessary immediate assistance.","Expect",0,1,1,1,0,0,0,0,1,1,0,0.5,0.5,0.175682092231577
"10","My boss may be upset due to my tardiness.","Cause",1,1,1,1,0,0,1,1,0,1,0,0.6,0.6,0.172132593164774
"11","My boss may be upset due to my tardiness.","Intend",0,0,0,0,0,0,0,0,0,0,0,0,1,0
"12","My boss may be upset due to my tardiness.","Expect",0,1,1,1,1,1,1,0,1,1,1,0.9,0.1,0.105409255338946
"13","I may feel good about helping someone in need despite the potential consequences at work.","Cause",1,1,1,1,1,0,1,0,0,1,0,0.6,0.6,0.172132593164774
"14","I may feel good about helping someone in need despite the potential consequences at work.","Intend",1,0,1,0,0,0,1,1,0,0,0,0.3,0.3,0.161015297179883
"15","I may feel good about helping someone in need despite the potential consequences at work.","Expect",0,1,1,1,0,1,1,1,1,1,1,0.9,0.1,0.105409255338946
