table_id,original_scenario_id,severity,evitability,causal,choice,c_plus_pct,i_plus_pct,num_events,condition
1,0,Mild,Evitable,CC,1,100.00,100.00,5,cc_evitable_action_yes_stories
2,0,Mild,Evitable,CC,2,100.00,50.00,4,cc_evitable_action_yes_stories
3,2,Mild,Evitable,CC,1,100.00,83.33,6,cc_evitable_action_yes_stories
4,2,Mild,Evitable,CC,2,100.00,100.00,5,cc_evitable_action_yes_stories
5,3,Mild,Evitable,CC,1,100.00,100.00,4,cc_evitable_action_yes_stories
6,3,Mild,Evitable,CC,2,100.00,100.00,4,cc_evitable_action_yes_stories
7,4,Mild,Evitable,CC,1,100.00,100.00,3,cc_evitable_action_yes_stories
8,4,Mild,Evitable,CC,2,100.00,100.00,4,cc_evitable_action_yes_stories
9,5,Mild,Evitable,CC,1,100.00,100.00,7,cc_evitable_action_yes_stories
10,6,Mild,Evitable,CC,1,100.00,100.00,4,cc_evitable_action_yes_stories
11,6,Mild,Evitable,CC,2,100.00,75.00,4,cc_evitable_action_yes_stories
12,7,Mild,Evitable,CC,1,100.00,100.00,4,cc_evitable_action_yes_stories
13,7,Mild,Evitable,CC,2,100.00,80.00,5,cc_evitable_action_yes_stories
14,10,Mild,Evitable,CC,1,100.00,100.00,2,cc_evitable_action_yes_stories
15,10,Mild,Evitable,CC,2,100.00,100.00,2,cc_evitable_action_yes_stories
16,12,Mild,Evitable,CC,1,100.00,100.00,5,cc_evitable_action_yes_stories
17,12,Mild,Evitable,CC,2,75.00,100.00,4,cc_evitable_action_yes_stories
18,14,Mild,Evitable,CC,1,100.00,100.00,5,cc_evitable_action_yes_stories
19,14,Mild,Evitable,CC,2,80.00,40.00,5,cc_evitable_action_yes_stories
20,15,Mild,Evitable,CC,1,100.00,75.00,4,cc_evitable_action_yes_stories
21,15,Mild,Evitable,CC,2,100.00,50.00,4,cc_evitable_action_yes_stories
22,16,Mild,Evitable,CC,1,100.00,75.00,4,cc_evitable_action_yes_stories
23,16,Mild,Evitable,CC,2,100.00,60.00,5,cc_evitable_action_yes_stories
24,17,Mild,Evitable,CC,1,100.00,75.00,4,cc_evitable_action_yes_stories
25,17,Mild,Evitable,CC,2,100.00,100.00,4,cc_evitable_action_yes_stories
26,18,Mild,Evitable,CC,1,100.00,75.00,4,cc_evitable_action_yes_stories
27,18,Mild,Evitable,CC,2,100.00,100.00,5,cc_evitable_action_yes_stories
28,19,Mild,Evitable,CC,1,100.00,80.00,5,cc_evitable_action_yes_stories
29,19,Mild,Evitable,CC,2,100.00,50.00,6,cc_evitable_action_yes_stories
30,20,Mild,Evitable,CC,1,100.00,100.00,3,cc_evitable_action_yes_stories
31,20,Mild,Evitable,CC,2,100.00,100.00,4,cc_evitable_action_yes_stories
32,22,Mild,Evitable,CC,1,100.00,100.00,4,cc_evitable_action_yes_stories
33,22,Mild,Evitable,CC,2,100.00,100.00,4,cc_evitable_action_yes_stories
34,23,Mild,Evitable,CC,1,100.00,100.00,5,cc_evitable_action_yes_stories
35,23,Mild,Evitable,CC,2,100.00,100.00,5,cc_evitable_action_yes_stories
36,24,Mild,Evitable,CC,1,100.00,83.33,6,cc_evitable_action_yes_stories
37,24,Mild,Evitable,CC,2,100.00,80.00,5,cc_evitable_action_yes_stories
38,25,Mild,Evitable,CC,1,100.00,80.00,5,cc_evitable_action_yes_stories
39,25,Mild,Evitable,CC,2,100.00,40.00,5,cc_evitable_action_yes_stories
40,26,Mild,Evitable,CC,1,100.00,100.00,8,cc_evitable_action_yes_stories
41,26,Mild,Evitable,CC,2,100.00,100.00,5,cc_evitable_action_yes_stories
42,27,Mild,Evitable,CC,1,100.00,100.00,4,cc_evitable_action_yes_stories
43,27,Mild,Evitable,CC,2,100.00,100.00,5,cc_evitable_action_yes_stories
44,28,Mild,Evitable,CC,1,100.00,75.00,4,cc_evitable_action_yes_stories
45,28,Mild,Evitable,CC,2,100.00,100.00,4,cc_evitable_action_yes_stories
46,29,Mild,Evitable,CC,1,100.00,100.00,4,cc_evitable_action_yes_stories
47,29,Mild,Evitable,CC,2,100.00,100.00,4,cc_evitable_action_yes_stories
48,0,Mild,Evitable,CC,1,100.00,80.00,5,cc_evitable_prevention_no_stories
49,0,Mild,Evitable,CC,2,100.00,100.00,5,cc_evitable_prevention_no_stories
50,1,Mild,Evitable,CC,1,100.00,100.00,5,cc_evitable_prevention_no_stories
51,1,Mild,Evitable,CC,2,100.00,100.00,5,cc_evitable_prevention_no_stories
52,2,Mild,Evitable,CC,1,100.00,100.00,4,cc_evitable_prevention_no_stories
53,2,Mild,Evitable,CC,2,100.00,100.00,5,cc_evitable_prevention_no_stories
54,3,Mild,Evitable,CC,1,100.00,100.00,5,cc_evitable_prevention_no_stories
55,3,Mild,Evitable,CC,2,100.00,100.00,4,cc_evitable_prevention_no_stories
56,4,Mild,Evitable,CC,1,100.00,100.00,5,cc_evitable_prevention_no_stories
57,4,Mild,Evitable,CC,2,100.00,100.00,5,cc_evitable_prevention_no_stories
58,5,Mild,Evitable,CC,1,100.00,100.00,7,cc_evitable_prevention_no_stories
59,5,Mild,Evitable,CC,2,100.00,100.00,5,cc_evitable_prevention_no_stories
60,6,Mild,Evitable,CC,1,100.00,85.71,7,cc_evitable_prevention_no_stories
61,6,Mild,Evitable,CC,2,100.00,100.00,4,cc_evitable_prevention_no_stories
62,7,Mild,Evitable,CC,1,100.00,100.00,5,cc_evitable_prevention_no_stories
63,7,Mild,Evitable,CC,2,100.00,100.00,5,cc_evitable_prevention_no_stories
64,8,Mild,Evitable,CC,1,100.00,100.00,5,cc_evitable_prevention_no_stories
65,8,Mild,Evitable,CC,2,100.00,80.00,5,cc_evitable_prevention_no_stories
66,9,Mild,Evitable,CC,1,100.00,100.00,4,cc_evitable_prevention_no_stories
67,9,Mild,Evitable,CC,2,100.00,83.33,6,cc_evitable_prevention_no_stories
68,10,Mild,Evitable,CC,1,100.00,66.67,3,cc_evitable_prevention_no_stories
69,10,Mild,Evitable,CC,2,100.00,75.00,4,cc_evitable_prevention_no_stories
70,11,Mild,Evitable,CC,1,100.00,75.00,4,cc_evitable_prevention_no_stories
71,11,Mild,Evitable,CC,2,100.00,100.00,5,cc_evitable_prevention_no_stories
72,12,Mild,Evitable,CC,1,100.00,83.33,6,cc_evitable_prevention_no_stories
73,12,Mild,Evitable,CC,2,100.00,100.00,5,cc_evitable_prevention_no_stories
74,13,Mild,Evitable,CC,1,100.00,100.00,5,cc_evitable_prevention_no_stories
75,13,Mild,Evitable,CC,2,100.00,100.00,5,cc_evitable_prevention_no_stories
76,14,Mild,Evitable,CC,1,100.00,66.67,6,cc_evitable_prevention_no_stories
77,14,Mild,Evitable,CC,2,100.00,100.00,4,cc_evitable_prevention_no_stories
78,15,Mild,Evitable,CC,1,100.00,75.00,4,cc_evitable_prevention_no_stories
79,15,Mild,Evitable,CC,2,100.00,75.00,4,cc_evitable_prevention_no_stories
80,16,Mild,Evitable,CC,1,100.00,66.67,6,cc_evitable_prevention_no_stories
81,16,Mild,Evitable,CC,2,100.00,66.67,6,cc_evitable_prevention_no_stories
82,17,Mild,Evitable,CC,1,100.00,100.00,6,cc_evitable_prevention_no_stories
83,17,Mild,Evitable,CC,2,100.00,80.00,5,cc_evitable_prevention_no_stories
84,18,Mild,Evitable,CC,1,100.00,80.00,5,cc_evitable_prevention_no_stories
85,18,Mild,Evitable,CC,2,100.00,100.00,4,cc_evitable_prevention_no_stories
86,19,Mild,Evitable,CC,1,50.00,0.00,2,cc_evitable_prevention_no_stories
87,19,Mild,Evitable,CC,2,25.00,0.00,4,cc_evitable_prevention_no_stories
88,20,Mild,Evitable,CC,1,100.00,100.00,5,cc_evitable_prevention_no_stories
89,20,Mild,Evitable,CC,2,100.00,100.00,4,cc_evitable_prevention_no_stories
90,21,Mild,Evitable,CC,1,100.00,80.00,5,cc_evitable_prevention_no_stories
91,21,Mild,Evitable,CC,2,100.00,100.00,4,cc_evitable_prevention_no_stories
