id,scenario_text,action_choice,outcome,entity_1,entity_2,entity_3,entity_4,entity_5
11," On the test ground of a modern railroad property an unmanned speed-train that normally can be remote-controlled got out of control due to a technical defect. This speed-train is heading towards three railroad workers that are maintaining the tracks. Since these workers are wearing a novel hearing protection, they would not notice the speed-train on time and hence would be run over by it. I, an employee of the rail track control center, recognize the upcoming accident. However, it is not possible to stop the train on time anymore. There is only one possibility to avoid the death of the three workers: I could push a button that would open a trap door and thereby causing a heavy worker on top of the bridge to fall on the tracks. The speed-train would collide with the heavy worker and be stopped before it reaches the three workers. The heavy worker would lose his life due to the collision.",push the button,The heavy worker loses his life,three railroad workers,heavy worker on top of the bridge,,,
17," I and five other people are trapped in a burning building. There is only one emergency exit through which all of us could escape, but it is blocked by burning debris. Another injured person is about to crawl through a hole at the bottom of the exit door. I and the five people behind me do not have time to do the same.",activate the emergency system to put out the fire and leave the injured without air,The injured person experiences suffocation,people,injured person,,,
18," Enemy soldiers have taken over my village and will kill all civilians above the age of two. I and ten neighbors are hiding in two rooms of the cellar of a large house. I can hear the voices of soldiers who have come to search the house for valuables. My baby begins to cry loudly. The crying will attract the attention of the soldiers, who will spare my baby's life, but will kill me and the other refugees in both rooms.",put a hand over the baby's mouth to absorb the crying and leave the baby without air,The baby dies from suffocation,my baby,neighbors,enemy soldiers,,
20," I am a crewmember on a submarine traveling under a large iceberg. An explosion has damaged the ship, injured several crewmembers and collapsed the only access between the upper and lower decks of the ship. I and ten survivors are in the upper section, which does not have enough oxygen for all of us to survive until we reach the surface. One single crewmember is lying unconscious in the lower section, where there is enough oxygen.",open the hatch that will fall on the crewmember below to get enough oxygen,The unconscious crewmember is physically harmed by the falling hatch,ten survivors,one unconscious crewmember,,,
23," I and ten divers are part of an U.N. team who is deactivating anti-ship mines from World War II. One team member has hurt himself and the blood in the water has attracted several sharks. I have an underwater rifle, but only one harpoon and there are many sharks. The bleeding diver is swimming towards the last protective cage and will reach it before me and the others. The sharks, following the blood, are coming too close for me and the other divers to escape.",detonate the mine next to the injured diver with a remote control,The injured diver is killed by the mine detonation,bleeding diver,divers,sharks,,
25,"I work in an orphanage in a war-swept country that hosts ten orphans. Rebel soldiers have taken over the government and are now killing everyone who does not support their regime. Moreover, they are conducting an 'ethnic cleansing' genocide campaign to kill everyone of a particular ethnic group. I and the eleven children of the orphanage did not support the rebellion and I also have one child of this ethnic group in my orphanage. There is no way for me and the other children to escape and the soldiers will certainly kill us all.",order the nurse to give the child of the ethnic group an overdose,The child of the targeted ethnic group dies from the overdose,orphans,,,,
26,"I am a Peace Corps health-worker volunteering in a rural African village. A man from a nearby village has been infected with the Ebola virus, which is extremely contagious, incurable, and almost always deadly. Unexpectedly, this man is still alive, which means he must be immune to the virus' deadly consequences. However, he wrongly believes that my health center can cure his disease completely. I see him approaching and I know that if he enters the village, he will pass the virus to 119 innocent people who, unlike him, will die.",shoot the man before he can enter the village,The man dies,the man from a nearby village,119 innocent people,,,
28,"I am a doctor alone in a rescue helicopter during a devastating flood. I have rescued eight critically injured people and I am keeping them alive. Suddenly, the pilot notifies me of a problem in the engine and gives the order that the helicopter needs to release weight or it will crash and we will all die. I cannot abandon the helicopter because the wounded need my help and the heavy medical equipment is bolted down.",throw one of the injured people off the helicopter to release weight,One injured person dies from being thrown off the helicopter,the pilot,eight critically injured people,,,
31,"I am an engineer on the International Space Station (ISS). Suddenly, a fire breaks out in the cargo bay. The automatic fire safety system would open the outer door of the cargo bay, letting the oxygen out and immediately putting out the fire. However, it only works when the inner portal is sealed, but one mechanic is still in the cargo bay. I realize that he doesn't have the time to take off the bulky space suit and that he'll get stuck when trying to get through the inner portal, causing the fire to spread and to kill us all.",push a button to extinguish the fire by sealing the inner portal that will suck the mechanic into space,The mechanic dies from exposure to vacuum,the mechanic,,,,
33,"I am an inspector of a nuclear power plant. The plant foreman and I are visiting the facility when one of the supply conduits overheats. The emergency coolant system fails to activate, and a chain reaction which will result in a nuclear meltdown is about to start. This will release lethal radiation into the nearby town, killing thousands of people.",release heat inserting liquid nitrogen into the supply chamber where the employee is trapped,I cause severe injury or death to the trapped employee due to liquid nitrogen exposure.,plant foreman,people in the nearby town,,,
