"","annot_scores","p1","p3","p4","p5","p6","p7","p9","entity","outcome","subj_means","subj_se"
"1",50,30,28,100,69,20,62,76,"I","My girlfriend may feel valued and respected because I am considering her preferences in the decision-making process.",55,12.1220643639788
"2",80,7,33,68,69,30,15,77,"girlfriend","My girlfriend may feel valued and respected because I am considering her preferences in the decision-making process.",42.7142857142857,11.5535330952972
"3",80,32,51,100,65,21,63,100,"I","The conversation may lead to a mutual understanding of their relationship's future.",61.7142857142857,12.4715549367223
"4",80,32,43,100,65,40,9,100,"girlfriend","The conversation may lead to a mutual understanding of their relationship's future.",55.5714285714286,14.1044853836114
"5",-50,-47,-29,-58,-55,-20,23,-20,"I","My girlfriend might experience stress or anxiety over the possibility of the relationship ending.",-29.4285714285714,11.4330348426953
"6",-80,-47,-72,-100,71,-80,-69,-100,"girlfriend","My girlfriend might experience stress or anxiety over the possibility of the relationship ending.",-56.7142857142857,24.1979272364325
"7",0,28,35,100,71,41,0,100,"I","My girlfriend and I could decide to work on our relationship or to part ways amicably.",53.5714285714286,15.4934702067555
"8",0,26,32,67,72,41,0,14,"girlfriend","My girlfriend and I could decide to work on our relationship or to part ways amicably.",36,10.7729084074615
"9",80,34,57,100,68,60,100,67,"I","My girlfriend may appreciate the honesty, leading to a more open and truthful dialogue between us.",69.4285714285714,9.68348291008154
"10",80,32,30,67,62,20,100,64,"girlfriend","My girlfriend may appreciate the honesty, leading to a more open and truthful dialogue between us.",53.5714285714286,11.3818987452718
"11",-20,-16,-14,-88,67,-20,-41,-14,"I","The discussion could result in my girlfriend feeling insecure about her ability to make a life for herself independently in a new country.",-18,18.7779421426074
"12",-80,-45,-59,-100,65,-90,-79,-55,"girlfriend","The discussion could result in my girlfriend feeling insecure about her ability to make a life for herself independently in a new country.",-51.8571428571429,22.5295220783612
"13",80,57,50,100,70,65,97,100,"I","I may feel relieved for sharing my feelings and intentions, reducing my guilt over the situation.",77,8.78761755097605
"14",0,-31,-21,-84,69,18,-34,45,"girlfriend","I may feel relieved for sharing my feelings and intentions, reducing my guilt over the situation.",-5.42857142857143,21.4202100089004
