id,option_1
0,redirect the train to the side track
1,push the cars
10,push the worker from the bridge
11,push the button
12,throw the switch
13,throw the switch
14,throw the switch
15,throw the switch
16,use the injured person to break down the blockage
17,activate the emergency system to put out the fire and leave the injured without air
18,put a hand over the baby's mouth to absorb the crying and leave the baby without air
19,activate the noisy boiler to cushion the crying and asphyxiate the baby
2,throw the bomb to the patio
20,open the hatch that will fall on the crewmember below to get enough oxygen
22,shoot at the injured diver
23,detonate the mine next to the injured diver with a remote control
24,smother the child of the ethnic group
25,order the nurse to give the child of the ethnic group an overdose
26,shoot the man before he can enter the village
27,warn the village council so they shoot the man before he can enter the village
28,throw one of the injured people off the helicopter to release weight
29,cut the cable by which the last injured person is ascending
3,throw one guest onto the bomb
30,manually seal the inner portal that will suck the mechanic into space
31,push a button to extinguish the fire by sealing the inner portal that will suck the mechanic into space
32,cool the conduits by pushing the foreman down on them to stop the nuclear chain reaction
33,release heat inserting liquid nitrogen into the supply chamber where the employee is trapped
34,drop the cinderblock on the teenager's head to stop him
35,reactivate the building's electricity to stop the teenager
36,shake off the child who will then drown
37,put the seats in the corridor that will trap the third child but free the exit
38,cut the accident victim's carotid artery to obtain his organs for the transplantations
39,let the nurse inject the wrong medication to obtain the organs for the transplantations
4,redirect the virus into the room with 1 patient
42,inject these two substances into two lab assistants to identify the vaccine
43,allow the nurse to inject the two substances into two lab assistants to identify the vaccine
21,push the button to open the hatch that will fall on the crewmember below to get enough oxygen
40,push team members including one without a safety harness that will fall down to stop the swinging of the container
41,push the emergency button that will move the container back to drop on a crewmember in the cargo bay
44,push the stranger onto the tracks to derail the trolley
45,flip the control switch to divert the trolley onto the track with only one workman
46,poison the fellow researcher to prevent the sale
47,release flammable gas to cause the fellow researcher's computer to explode
48,force the biker up front off the road to prevent the large pile-up
49,drive into the falling biker's machine to alert the others about the imminent accident
5,have the patient undergo the required procedure
50,stab the trapped soldier to death
51,order that region to be bombed to prevent the soldier from revealing the allied base camp's location
52,place one of the patients on the chemical to prevent the toxic evaporation
53,activate the ventilation system to divert the gas to a room with one patient
54,throw the heavy child overboard
55,leave the heavy child behind
56,knock over the cubicle with only one miner to reduce weight
57,push the emergency switch that detaches the last cubicle to reduce weight
58,suffocate the wealthy tycoon to speed up the donation
59,cause the wealthy tycoon's life support equipment to fail to anticipate the donation
6,destroy the torpedo by remote control
60,torture the spy for him to reveal the information
61,let the rats continue to torture the spy for him to reveal the information
7,order the three soldiers to move their boat
8,redirect the train to the side track
9,redirect the train to the side track
