"","annot_scores","p1","p2","p3","p4","p5","p6","p7","p8","p9","entity","outcome","subj_means","subj_se"
"1",-30,-16,-49,30,20,-40,-38,-79,-25,-24,"I","My girlfriend may experience emotional distress.",-24.5555555555556,11.8692237413498
"2",-80,-40,-67,100,-80,-100,-100,-25,-85,-70,"girlfriend","My girlfriend may experience emotional distress.",-51.8888888888889,22.0109663324646
"3",0,-33,-79,59,90,40,-60,63,50,45,"I","I may feel a sense of relief or guilt.",19.4444444444444,21.3608221335749
"4",0,-37,-42,16,-25,0,-100,-28,-20,-50,"girlfriend","I may feel a sense of relief or guilt.",-31.7777777777778,11.5984613443144
"5",-20,-39,-22,-70,22,0,71,-4,-51,-26,"I","My girlfriend may face financial difficulties.",-13.2222222222222,14.8689880474616
"6",-80,-42,-88,65,-100,-100,-100,-86,-100,-84,"girlfriend","My girlfriend may face financial difficulties.",-70.5555555555556,19.1140582352943
"7",-20,-2,-18,-15,0,0,100,-16,-10,-28,"I","My girlfriend may struggle with her school commitments without transportation assistance.",1.22222222222222,13.508999058241
"8",-70,-38,-71,100,-100,-100,-100,-94,-50,-73,"girlfriend","My girlfriend may struggle with her school commitments without transportation assistance.",-58.4444444444444,22.5028547571685
"9",-20,5,-22,-42,0,0,100,-7,-15,-4,"I","My girlfriend may encounter challenges in daily living due to her poor English skills.",1.66666666666667,13.9966513852421
"10",-70,-36,-83,83,-100,-100,-100,-73,-51,-83,"girlfriend","My girlfriend may encounter challenges in daily living due to her poor English skills.",-60.3333333333333,20.589742591883
"11",80,97,66,-42,100,90,89,91,100,86,"I","I may start to pursue personal goals or relationships that align more closely with my vision for the future.",75.2222222222222,15.9596931535527
"12",0,-23,-7,60,9,-60,-100,-5,20,48,"girlfriend","I may start to pursue personal goals or relationships that align more closely with my vision for the future.",-6.44444444444444,17.7720911043755
