========================================================================================================================
SCENARIO DATA TABLE V2
========================================================================================================================
Filter non-negative utility events: True
Total rows: 491
========================================================================================================================

  ID | Orig ID | Severity | Evitability | Causal | Choice |    C+ % |    I+ % | N Events | Condition
------------------------------------------------------------------------------------------------------------------------
   1 |       0 |     Mild |    Evitable |     CC |      1 |  100.00 |  100.00 |        4 | cc_evitable_action_yes_stories
   2 |       0 |     Mild |    Evitable |     CC |      2 |  100.00 |   50.00 |        2 | cc_evitable_action_yes_stories
   3 |       2 |     Mild |    Evitable |     CC |      1 |  100.00 |  100.00 |        2 | cc_evitable_action_yes_stories
   4 |       3 |     Mild |    Evitable |     CC |      1 |  100.00 |  100.00 |        3 | cc_evitable_action_yes_stories
   5 |       4 |     Mild |    Evitable |     CC |      1 |  100.00 |  100.00 |        2 | cc_evitable_action_yes_stories
   6 |       5 |     Mild |    Evitable |     CC |      1 |  100.00 |  100.00 |        3 | cc_evitable_action_yes_stories
   7 |       6 |     Mild |    Evitable |     CC |      1 |  100.00 |  100.00 |        3 | cc_evitable_action_yes_stories
   8 |       6 |     Mild |    Evitable |     CC |      2 |  100.00 |   66.67 |        3 | cc_evitable_action_yes_stories
   9 |       7 |     Mild |    Evitable |     CC |      1 |  100.00 |  100.00 |        2 | cc_evitable_action_yes_stories
  10 |      10 |     Mild |    Evitable |     CC |      1 |  100.00 |  100.00 |        2 | cc_evitable_action_yes_stories
  11 |      12 |     Mild |    Evitable |     CC |      1 |  100.00 |  100.00 |        4 | cc_evitable_action_yes_stories
  12 |      14 |     Mild |    Evitable |     CC |      1 |  100.00 |  100.00 |        4 | cc_evitable_action_yes_stories
  13 |      14 |     Mild |    Evitable |     CC |      2 |  100.00 |    0.00 |        2 | cc_evitable_action_yes_stories
  14 |      15 |     Mild |    Evitable |     CC |      1 |  100.00 |   66.67 |        3 | cc_evitable_action_yes_stories
  15 |      15 |     Mild |    Evitable |     CC |      2 |  100.00 |    0.00 |        1 | cc_evitable_action_yes_stories
  16 |      16 |     Mild |    Evitable |     CC |      1 |  100.00 |   50.00 |        2 | cc_evitable_action_yes_stories
  17 |      16 |     Mild |    Evitable |     CC |      2 |  100.00 |    0.00 |        2 | cc_evitable_action_yes_stories
  18 |      17 |     Mild |    Evitable |     CC |      1 |  100.00 |   66.67 |        3 | cc_evitable_action_yes_stories
  19 |      18 |     Mild |    Evitable |     CC |      1 |  100.00 |   50.00 |        2 | cc_evitable_action_yes_stories
  20 |      18 |     Mild |    Evitable |     CC |      2 |  100.00 |  100.00 |        1 | cc_evitable_action_yes_stories
  21 |      19 |     Mild |    Evitable |     CC |      1 |  100.00 |   50.00 |        2 | cc_evitable_action_yes_stories
  22 |      19 |     Mild |    Evitable |     CC |      2 |  100.00 |   50.00 |        4 | cc_evitable_action_yes_stories
  23 |      20 |     Mild |    Evitable |     CC |      1 |  100.00 |  100.00 |        2 | cc_evitable_action_yes_stories
  24 |      20 |     Mild |    Evitable |     CC |      2 |  100.00 |  100.00 |        2 | cc_evitable_action_yes_stories
  25 |      22 |     Mild |    Evitable |     CC |      1 |  100.00 |  100.00 |        4 | cc_evitable_action_yes_stories
  26 |      23 |     Mild |    Evitable |     CC |      1 |  100.00 |  100.00 |        5 | cc_evitable_action_yes_stories
  27 |      24 |     Mild |    Evitable |     CC |      1 |  100.00 |   50.00 |        2 | cc_evitable_action_yes_stories
  28 |      25 |     Mild |    Evitable |     CC |      1 |  100.00 |   50.00 |        2 | cc_evitable_action_yes_stories
  29 |      25 |     Mild |    Evitable |     CC |      2 |  100.00 |    0.00 |        2 | cc_evitable_action_yes_stories
  30 |      26 |     Mild |    Evitable |     CC |      1 |  100.00 |  100.00 |        8 | cc_evitable_action_yes_stories
  31 |      27 |     Mild |    Evitable |     CC |      1 |  100.00 |  100.00 |        3 | cc_evitable_action_yes_stories
  32 |      28 |     Mild |    Evitable |     CC |      1 |  100.00 |   50.00 |        2 | cc_evitable_action_yes_stories
  33 |      28 |     Mild |    Evitable |     CC |      2 |  100.00 |  100.00 |        1 | cc_evitable_action_yes_stories
  34 |      29 |     Mild |    Evitable |     CC |      1 |  100.00 |  100.00 |        4 | cc_evitable_action_yes_stories
  35 |       0 |     Mild |    Evitable |     CC |      1 |  100.00 |   66.67 |        3 | cc_evitable_prevention_no_stories
  36 |       0 |     Mild |    Evitable |     CC |      2 |  100.00 |  100.00 |        4 | cc_evitable_prevention_no_stories
  37 |       1 |     Mild |    Evitable |     CC |      1 |  100.00 |  100.00 |        5 | cc_evitable_prevention_no_stories
  38 |       1 |     Mild |    Evitable |     CC |      2 |  100.00 |  100.00 |        3 | cc_evitable_prevention_no_stories
  39 |       2 |     Mild |    Evitable |     CC |      1 |  100.00 |  100.00 |        3 | cc_evitable_prevention_no_stories
  40 |       2 |     Mild |    Evitable |     CC |      2 |  100.00 |  100.00 |        3 | cc_evitable_prevention_no_stories
  41 |       3 |     Mild |    Evitable |     CC |      2 |  100.00 |  100.00 |        3 | cc_evitable_prevention_no_stories
  42 |       4 |     Mild |    Evitable |     CC |      2 |  100.00 |  100.00 |        3 | cc_evitable_prevention_no_stories
  43 |       5 |     Mild |    Evitable |     CC |      1 |  100.00 |  100.00 |        7 | cc_evitable_prevention_no_stories
  44 |       5 |     Mild |    Evitable |     CC |      2 |  100.00 |  100.00 |        1 | cc_evitable_prevention_no_stories
  45 |       6 |     Mild |    Evitable |     CC |      1 |  100.00 |  100.00 |        4 | cc_evitable_prevention_no_stories
  46 |       6 |     Mild |    Evitable |     CC |      2 |  100.00 |  100.00 |        3 | cc_evitable_prevention_no_stories
  47 |       7 |     Mild |    Evitable |     CC |      2 |  100.00 |  100.00 |        3 | cc_evitable_prevention_no_stories
  48 |       8 |     Mild |    Evitable |     CC |      1 |  100.00 |  100.00 |        2 | cc_evitable_prevention_no_stories
