strength,structure,background,target,type,avg_likert_rating,potential_match_scenarios,num_potential_matches
mild,coc,Maya has the opportunity to implement a new bike lane system throughout the city.,The new bike lane system encourages residents to cycle more.,good,6.05,"{0: 'Maya, an Architect, faces a moral dilemma. Maya has the opportunity to implement a new bike lane system throughout the city. The new bike lane system encourages residents to cycle more. As a side effect of encouraging residents to cycle more, the implementation of the bike lanes increases the prices for parking cars in the city. If Maya does not implement the bike lane system, the increase in parking prices would not happen. Maya implements the new bike lane system.', 150: 'Maya, an Architect, faces a moral dilemma. Maya has the opportunity to implement a new bike lane system throughout the city. The new bike lane system encourages residents to cycle more. As a side effect of encouraging residents to cycle more, the implementation of the bike lanes increases the prices for parking cars in the city. If Maya does not implement the bike lane system, the increase in parking prices would still happen because of a new city ordinance for greener transportation. Maya implements the new bike lane system.'}",2
severe,cc,Alejandro has the opportunity to implement a new power grid system in the city.,"This implementation requires a temporary shutdown of the city's power supply, causing a city-wide blackout for several days.",harm,2.1,"{11: ""Alejandro, an Engineer, faces a moral dilemma. Alejandro has the opportunity to implement a new power grid system in the city. As a means to achieve the significant reduction in energy consumption and energy taxes for residents, as well as promoting stable and sustainable power supply for the future, implementing a new power grid system requires a temporary shutdown of the city's power supply, causing a city-wide blackout for several days. If Alejandro does not implement the new power grid system, the city-wide blackout for several days would not happen. Alejandro implements the new power grid system."", 31: ""Alejandro, an Engineer, faces a moral dilemma. Alejandro has the opportunity to implement a new power grid system in the city. As a means to achieve the significant reduction in energy consumption and energy taxes for residents, as well as promoting stable and sustainable power supply for the future, implementing a new power grid system requires a temporary shutdown of the city's power supply, causing a city-wide blackout for several days. If Alejandro does not implement the new power grid system, the city-wide blackout for several days would still happen because a major storm is predicted to hit the city. Alejandro implements the new power grid system.""}",2
mild,cc,Mei has the opportunity to implement a new scheduling system for patient appointments.,"The implementation of the new scheduling system requires a temporary disruption in booking appointments, causing a delay for patients needing to schedule their visits.",harm,3.25,"{53: 'Mei, a Nurse, faces a moral dilemma. Mei has the opportunity to implement a new scheduling system for patient appointments. As a means to achieve a nicer looking user interface, the implementation of the new scheduling system requires a temporary disruption in booking appointments, causing a delay for patients needing to schedule their visits. If Mei does not implement the new scheduling system, the temporary disruption in booking appointments and the resulting delay for patients would not happen. Mei implements the new scheduling system.', 153: ""Mei, a Nurse, faces a moral dilemma. Mei has the opportunity to implement a new scheduling system for patient appointments. As a means to achieve a nicer looking user interface, the implementation of the new scheduling system requires a temporary disruption in booking appointments, causing a delay for patients needing to schedule their visits. If Mei does not implement the new scheduling system, the temporary disruption in booking appointments and the resulting delay for patients would still happen because of a system upgrade by the hospital's software provider. Mei implements the new scheduling system.""}",2
mild,cc,Amina has the opportunity to change the menu of her restaurant.,"The change in menu requires removing some of the customer's favorite dishes, causing disappointment among regular customers.",harm,3.05,"{54: ""Amina, a Chef, faces a moral dilemma. Amina has the opportunity to change the menu of her restaurant. As a means to introduce two new food options and attract a few new customers, the change in menu requires removing some of the customer's favorite dishes, causing disappointment among regular customers. If Amina does not change the menu, the removal of some of the customer's favorite dishes and the resulting disappointment would not happen. Amina changes the menu."", 154: ""Amina, a Chef, faces a moral dilemma. Amina has the opportunity to change the menu of her restaurant. As a means to introduce two new food options and attract a few new customers, the change in menu requires removing some of the customer's favorite dishes, causing disappointment among regular customers. If Amina does not change the menu, the removal of some of the customer's favorite dishes and the resulting disappointment would still happen because of a change in food supply due to seasonal variations. Amina changes the menu.""}",2
mild,coc,Mei has the opportunity to implement a new digital system for patient record-keeping in her clinic.,"Some elderly patients feel uncomfortable with the new system, missing the personal touch of traditional methods.",harm,3.6,"{3: 'Mei, a Nurse, faces a moral dilemma. Mei has the opportunity to implement a new digital system for patient record-keeping in her clinic. The digital system improves the time it takes to access patient records. As a side effect of improving the time it takes to access patient records, some elderly patients feel uncomfortable with the new system, missing the personal touch of traditional methods. If Mei does not implement the new digital system for patient record-keeping, the discomfort of elderly patients would not happen. Mei implements the new digital system for patient record-keeping.', 153: 'Mei, a Nurse, faces a moral dilemma. Mei has the opportunity to implement a new digital system for patient record-keeping in her clinic. The digital system improves the time it takes to access patient records. As a side effect of improving the time it takes to access patient records, some elderly patients feel uncomfortable with the new system, missing the personal touch of traditional methods. If Mei does not implement the new digital system for patient record-keeping, the discomfort of elderly patients would still happen because a new healthcare regulation requires the adoption of digital record-keeping. Mei implements the new digital system for patient record-keeping.'}",2
severe,cc,Mei has the opportunity to administer a new experimental drug to a critically ill patient.,"The new experimental drug has the potential to completely cure the patient's illness, leading to a full recovery and a healthy life.",good,6.4,"{13: ""Mei, a Nurse, faces a moral dilemma. Mei has the opportunity to administer a new experimental drug to a critically ill patient. As a means to achieve the potential complete cure of the patient's illness, leading to a full recovery and a healthy life, administering the new experimental drug requires the cessation of the patient's current treatment, which will lead to a temporary but significant deterioration in the patient's health. If Mei does not administer the new experimental drug, the temporary but significant deterioration in the patient's health would not happen. Mei administers the new experimental drug."", 33: ""Mei, a Nurse, faces a moral dilemma. Mei has the opportunity to administer a new experimental drug to a critically ill patient. As a means to achieve the potential complete cure of the patient's illness, leading to a full recovery and a healthy life, administering the new experimental drug requires the cessation of the patient's current treatment, which will lead to a temporary but significant deterioration in the patient's health. If Mei does not administer the new experimental drug, the significant deterioration in the patient's health would still happen because the patient's current treatment is becoming ineffective. Mei administers the new experimental drug.""}",2
mild,cc,Maya has the opportunity to renovate a park in the city.,"This renovation requires temporarily deprive the community of a beloved recreational space, causing inconvenience and disappointment among residents.",harm,3.45,"{50: ""Maya, an Architect, faces a moral dilemma. Maya has the opportunity to renovate a park in the city. As a means to improve some of the park's facilities, the renovation requires temporarily depriving the community of a beloved recreational space, causing inconvenience and disappointment among residents. If Maya does not renovate the park, the temporary deprivation of the recreational space and the resulting inconvenience and disappointment would not happen. Maya renovates the park."", 150: ""Maya, an Architect, faces a moral dilemma. Maya has the opportunity to renovate a park in the city. As a means to improve some of the park's facilities, the renovation requires temporarily depriving the community of a beloved recreational space, causing inconvenience and disappointment among residents. If Maya does not renovate the park, the temporary deprivation of the recreational space and the resulting inconvenience and disappointment would still happen because of a city mandate for construction. Maya renovates the park.""}",2
mild,coc,Amir has the opportunity to introduce an online homework submission system in his class.,Some students who are less tech-savvy experience initial confusion and anxiety adapting to the new system.,harm,3.3,"{2: 'Amir, a Teacher, faces a moral dilemma. Amir has the opportunity to introduce an online homework submission system in his class. The online system streamlines the submission process for some assignments. As a side effect of streamlining the submission process for some assignments, some students who are less tech-savvy experience initial confusion and anxiety adapting to the new system. If Amir does not introduce the online homework submission system, the confusion and anxiety of some students would not happen. Amir introduces the online homework submission system.', 152: 'Amir, a Teacher, faces a moral dilemma. Amir has the opportunity to introduce an online homework submission system in his class. The online system streamlines the submission process for some assignments. As a side effect of streamlining the submission process for some assignments, some students who are less tech-savvy experience initial confusion and anxiety adapting to the new system. If Amir does not introduce the online homework submission system, the confusion and anxiety of some students would still happen because of a school-wide policy mandating online homework submissions. Amir introduces the online homework submission system.'}",2
severe,coc,Mei has the opportunity to administer an experimental drug to a critically ill patient.,"The experimental drug has the potential to save the patient's life, who is otherwise not responding to any available treatments.",good,6.0,"{3: ""Mei, a Nurse, faces a moral dilemma. Mei has the opportunity to administer an experimental drug to a critically ill patient. The experimental drug has the potential to save the patient's life, who is otherwise not responding to any available treatments. As a side effect of achieving the potential to save the patient's life, the drug will cause severe health complications. If Mei does not administer the experimental drug, the severe health complications would not happen. Mei administers the experimental drug."", 33: ""Mei, a Nurse, faces a moral dilemma. Mei has the opportunity to administer an experimental drug to a critically ill patient. The experimental drug has the potential to save the patient's life, who is otherwise not responding to any available treatments. As a side effect of achieving the potential to save the patient's life, the drug will cause severe health complications. If Mei does not administer the experimental drug, the severe health complications would still happen because the patient's condition is deteriorating rapidly. Mei administers the experimental drug.""}",2
mild,cc,Alejandro has the opportunity to upgrade the company's server system.,The upgraded server system will slightly improve data processing speed.,good,5.35,"{51: ""Alejandro, an Engineer, faces a moral dilemma. Alejandro has the opportunity to upgrade the company's server system. As a means to slightly improve data processing speed, the upgrade process requires the company's server system to be offline for a few hours, causing a temporary halt in the company's operations. If Alejandro does not upgrade the server system, the temporary halt in the company's operations would not happen. Alejandro upgrades the server system."", 151: ""Alejandro, an Engineer, faces a moral dilemma. Alejandro has the opportunity to upgrade the company's server system. As a means to slightly improve data processing speed, the upgrade process requires the company's server system to be offline for a few hours, causing a temporary halt in the company's operations. If Alejandro does not upgrade the server system, the temporary halt in the company's operations would still happen because of a scheduled maintenance by the server provider. Alejandro upgrades the server system.""}",2
