health_state,lay_description,weight,text_source
"Infectious disease: acute episode, mild","has a low fever and mild discomfort, but no difficulty with daily activities.",0.006,desc
"Infectious disease: acute episode, moderate","has a fever and aches, and feels weak, which causes some difficulty with daily activities.",0.051,desc
"Infectious disease: acute episode, severe","has a high fever and pain, and feels very weak, which causes great difficulty with daily activities.",0.133,desc
"Infectious disease: post-acute consequences (fatigue, emotional lability, insomnia)","Infectious disease: post-acute consequences (fatigue, emotional lability, insomnia)",0.219,name
Diarrhoea: mild,has diarrhea three or more times a day with occasional discomfort in the belly.,0.074,desc
Diarrhoea: moderate,"has diarrhea three or more times a day, with painful cramps in the belly and feeling thirsty.",0.188,desc
Diarrhoea: severe,has diarrhea three or more times a day with severe belly cramps. The person is very thirsty and feels nauseous and tired.,0.247,desc
Epididymo-orchitis,has swelling and tenderness in the testicles and pain during urination.,0.128,desc
"HIV: symptomatic, pre-AIDS","has weight loss, fatigue, and frequent infections.",0.274,desc
HIV/AIDS: receiving antiretroviral treatment,has occasional fevers and infections. The person takes daily medication that sometimes causes diarrhea.,0.078,desc
AIDS: not receiving antiretroviral treatment,"has severe weight loss, weakness, fatigue, cough and fever, and frequent infections, skin rashes and diarrhea.",0.582,desc
Ear pain,has an ear-ache that causes some difficulty with daily activities.,0.013,desc
Tuberculosis: without HIV infection,"has a persistent cough and fever, is short of breath, feels weak, and has lost a lot of weight.",0.333,desc
Tuberculosis: with HIV infection,"has a persistent cough and fever, shortness of breath, night sweats, weakness and fatigue and severe weight loss.",0.408,desc
Cancer: diagnosis and primary therapy,"has pain, nausea, fatigue, weight loss and high anxiety.",0.288,desc
Cancer: metastatic,"has severe pain, extreme fatigue, weight loss and high anxiety.",0.451,desc
Stoma,has a pouch attached to an opening in the belly to collect and empty stools.,0.095,desc
"Terminal phase: with medication (for cancers, end-stage kidney or liver disease)","Terminal phase: with medication (for cancers, end-stage kidney or liver disease)",0.54,name
