"","outcome_name","link_type","annot_links","p1","p2","p3","p4","p5","p6","p7","p8","p9","subj_mean","agreement_percentage","subj_se"
"1","My son may not be able to attend the specialized summer camp for kids with epilepsy.","Cause",1,1,1,1,1,1,1,1,0,1,0.888888888888889,0.888888888888889,0.117851130197758
"2","My son may not be able to attend the specialized summer camp for kids with epilepsy.","Intend",0,1,0,0,1,0,0,0,1,0,0.333333333333333,0.666666666666667,0.176776695296637
"3","My son may not be able to attend the specialized summer camp for kids with epilepsy.","Expect",1,1,1,0,1,0,1,0,1,1,0.666666666666667,0.666666666666667,0.176776695296637
"4","My ex-partner may experience increased financial stress due to covering all medical and care expenses alone.","Cause",1,0,1,0,1,0,1,1,1,0,0.555555555555556,0.555555555555556,0.186338998124982
"5","My ex-partner may experience increased financial stress due to covering all medical and care expenses alone.","Intend",0,0,0,1,1,0,0,0,0,0,0.222222222222222,0.777777777777778,0.155902391115581
"6","My ex-partner may experience increased financial stress due to covering all medical and care expenses alone.","Expect",1,0,1,0,1,1,1,0,0,1,0.555555555555556,0.555555555555556,0.186338998124982
"7","My relationship with my ex-partner may become more strained.","Cause",1,1,1,1,1,1,1,1,1,0,0.888888888888889,0.888888888888889,0.117851130197758
"8","My relationship with my ex-partner may become more strained.","Intend",0,0,0,0,1,0,0,0,0,1,0.222222222222222,0.777777777777778,0.155902391115581
"9","My relationship with my ex-partner may become more strained.","Expect",1,0,1,0,1,1,1,0,1,1,0.666666666666667,0.666666666666667,0.176776695296637
"10","My son may not receive the most beneficial care and support for his condition due to financial constraints.","Cause",1,1,1,1,1,1,1,1,1,1,1,1,0
"11","My son may not receive the most beneficial care and support for his condition due to financial constraints.","Intend",0,0,0,0,1,0,0,0,0,0,0.111111111111111,0.888888888888889,0.117851130197758
"12","My son may not receive the most beneficial care and support for his condition due to financial constraints.","Expect",1,1,1,0,1,0,1,0,1,0,0.555555555555556,0.555555555555556,0.186338998124982
"13","My refusal to adjust my schedule may prevent me from being involved in important decisions or treatments for my son's health condition.","Cause",1,1,1,1,1,1,1,0,1,0,0.777777777777778,0.777777777777778,0.155902391115581
"14","My refusal to adjust my schedule may prevent me from being involved in important decisions or treatments for my son's health condition.","Intend",0,1,1,0,1,0,0,0,1,1,0.555555555555556,0.444444444444444,0.186338998124982
"15","My refusal to adjust my schedule may prevent me from being involved in important decisions or treatments for my son's health condition.","Expect",1,0,1,0,1,0,0,1,1,1,0.555555555555556,0.555555555555556,0.186338998124982
