"","annot_scores","p1","p10","p2","p3","p4","p5","p6","p9","entity","outcome","subj_means","subj_se"
"1",0,-15,0,-75,100,-2,-57,-34,100,"I","My sister may feel confronted or defensive about the demand to give up the dog.",2.125,24.8353249897588
"2",-50,-60,-100,-58,49,-40,-58,-71,-45,"older sister","My sister may feel confronted or defensive about the demand to give up the dog.",-47.875,16.3250621150801
"3",0,0,0,-40,100,-16,3,-62,100,"mother","My sister may feel confronted or defensive about the demand to give up the dog.",10.625,22.49982993133
"4",0,0,0,-2,97,-7,-2,-47,100,"younger sister","My sister may feel confronted or defensive about the demand to give up the dog.",17.375,19.8257073888774
"5",0,0,0,-12,-44,0,5,0,100,"dog","My sister may feel confronted or defensive about the demand to give up the dog.",6.125,15.5214630858863
"6",50,20,100,100,31,91,94,93,100,"I","My mother and younger sister might feel relieved or supported by my decision to address the issue.",78.625,12.5127486009677
"7",0,0,0,100,-1,-32,3,-65,-79,"older sister","My mother and younger sister might feel relieved or supported by my decision to address the issue.",-9.25,20.6108253703965
"8",80,100,100,100,7,94,90,100,100,"mother","My mother and younger sister might feel relieved or supported by my decision to address the issue.",86.375,12.2056151346963
"9",80,100,100,100,1,97,89,97,100,"younger sister","My mother and younger sister might feel relieved or supported by my decision to address the issue.",85.5,12.981934071813
"10",0,1,0,100,1,62,3,25,0,"dog","My mother and younger sister might feel relieved or supported by my decision to address the issue.",24,14.1939912552848
"11",0,100,100,100,100,84,76,100,100,"I","The dog might be given up for adoption and potentially find a more suitable and caring home.",95,3.59137288285044
"12",0,100,-100,100,48,46,72,27,-58,"older sister","The dog might be given up for adoption and potentially find a more suitable and caring home.",29.375,27.4024708404783
"13",0,100,100,100,100,76,77,100,100,"mother","The dog might be given up for adoption and potentially find a more suitable and caring home.",94.125,4.11288418588837
"14",0,100,0,100,100,76,40,100,100,"younger sister","The dog might be given up for adoption and potentially find a more suitable and caring home.",77,14.2456581283633
"15",80,100,100,100,100,100,100,100,100,"dog","The dog might be given up for adoption and potentially find a more suitable and caring home.",100,0
"16",-50,-70,-100,-8,100,-72,-60,-50,-92,"I","My relationship with my older sister could become more strained due to the demand.",-44,24.4214693101235
"17",-50,-70,-100,-20,-100,-69,-51,-58,-90,"older sister","My relationship with my older sister could become more strained due to the demand.",-69.75,10.3070215813081
"18",-30,-15,0,-100,100,-59,5,-59,-35,"mother","My relationship with my older sister could become more strained due to the demand.",-20.375,22.6399840448491
"19",-20,-20,0,-2,100,-28,3,0,-36,"younger sister","My relationship with my older sister could become more strained due to the demand.",2.125,15.9443387688392
"20",0,0,0,100,0,0,2,-9,0,"dog","My relationship with my older sister could become more strained due to the demand.",11.625,13.5555358072047
"21",-30,-20,-100,-8,23,2,-47,-100,-13,"I","The family dynamic might experience tension as the discussion about the dog's future unfolds.",-32.875,17.3375109434511
"22",-30,-40,-100,-13,-48,55,-64,-85,43,"older sister","The family dynamic might experience tension as the discussion about the dog's future unfolds.",-31.5,21.3474655571636
"23",-30,-20,-100,-7,-9,-9,-51,-83,-13,"mother","The family dynamic might experience tension as the discussion about the dog's future unfolds.",-36.5,14.0058296900299
"24",-30,-20,-100,-2,-36,-23,-63,-83,-13,"younger sister","The family dynamic might experience tension as the discussion about the dog's future unfolds.",-42.5,13.4057556935178
"25",0,-5,0,100,1,0,3,-4,0,"dog","The family dynamic might experience tension as the discussion about the dog's future unfolds.",11.875,13.4944243966135
"26",50,100,100,100,100,100,95,100,100,"I","If the dog is adopted by a new owner, the living conditions in my home may improve.",99.375,0.668153104781061
"27",50,80,0,100,100,35,-1,-47,100,"older sister","If the dog is adopted by a new owner, the living conditions in my home may improve.",45.875,21.6648285457875
"28",50,100,100,100,100,100,100,88,100,"mother","If the dog is adopted by a new owner, the living conditions in my home may improve.",98.5,1.60356745147455
"29",50,100,0,100,100,100,100,49,100,"younger sister","If the dog is adopted by a new owner, the living conditions in my home may improve.",81.125,14.1066455608551
"30",0,0,0,100,100,75,-2,100,100,"dog","If the dog is adopted by a new owner, the living conditions in my home may improve.",59.125,18.9859642034502
"31",0,0,0,100,100,10,100,-82,0,"I","I might feel a sense of relief or guilt, depending on the outcome of the situation.",28.5,24.8776598413853
"32",0,0,0,13,-85,4,2,-90,0,"older sister","I might feel a sense of relief or guilt, depending on the outcome of the situation.",-19.5,15.9540155523585
"33",0,0,0,59,77,10,2,-65,0,"mother","I might feel a sense of relief or guilt, depending on the outcome of the situation.",10.375,16.2115321765157
"34",0,0,0,19,1,9,1,-81,0,"younger sister","I might feel a sense of relief or guilt, depending on the outcome of the situation.",-6.375,11.6757860374296
"35",0,0,0,100,-51,2,2,-80,0,"dog","I might feel a sense of relief or guilt, depending on the outcome of the situation.",-3.375,19.6488951758783
